condition,true,pred,count,normalized
teacher,0,0,217,0.8188679245283019
teacher,0,1,13,0.04905660377358491
teacher,0,2,25,0.09433962264150944
teacher,0,3,8,0.03018867924528302
teacher,0,4,2,0.007547169811320755
teacher,1,0,34,0.68
teacher,1,1,4,0.08
teacher,1,2,7,0.14
teacher,1,3,4,0.08
teacher,1,4,1,0.02
teacher,2,0,63,0.4315068493150685
teacher,2,1,12,0.0821917808219178
teacher,2,2,43,0.2945205479452055
teacher,2,3,25,0.17123287671232876
teacher,2,4,3,0.02054794520547945
teacher,3,0,2,0.028985507246376812
teacher,3,1,1,0.014492753623188406
teacher,3,2,10,0.14492753623188406
teacher,3,3,22,0.3188405797101449
teacher,3,4,34,0.4927536231884058
teacher,4,0,0,0.0
teacher,4,1,0,0.0
teacher,4,2,4,0.2
teacher,4,3,4,0.2
teacher,4,4,12,0.6
best_fp32,0,0,197,0.7433962264150943
best_fp32,0,1,23,0.08679245283018867
best_fp32,0,2,32,0.12075471698113208
best_fp32,0,3,10,0.03773584905660377
best_fp32,0,4,3,0.011320754716981131
best_fp32,1,0,33,0.66
best_fp32,1,1,3,0.06
best_fp32,1,2,10,0.2
best_fp32,1,3,3,0.06
best_fp32,1,4,1,0.02
best_fp32,2,0,85,0.5821917808219178
best_fp32,2,1,13,0.08904109589041095
best_fp32,2,2,26,0.1780821917808219
best_fp32,2,3,20,0.136986301369863
best_fp32,2,4,2,0.0136986301369863
best_fp32,3,0,6,0.08695652173913043
best_fp32,3,1,3,0.043478260869565216
best_fp32,3,2,14,0.2028985507246377
best_fp32,3,3,31,0.4492753623188406
best_fp32,3,4,15,0.21739130434782608
best_fp32,4,0,4,0.2
best_fp32,4,1,0,0.0
best_fp32,4,2,4,0.2
best_fp32,4,3,3,0.15
best_fp32,4,4,9,0.45
ptq_int8,0,0,198,0.7471698113207547
ptq_int8,0,1,21,0.07924528301886792
ptq_int8,0,2,33,0.12452830188679245
ptq_int8,0,3,10,0.03773584905660377
ptq_int8,0,4,3,0.011320754716981131
ptq_int8,1,0,32,0.64
ptq_int8,1,1,2,0.04
ptq_int8,1,2,13,0.26
ptq_int8,1,3,3,0.06
ptq_int8,1,4,0,0.0
ptq_int8,2,0,87,0.5958904109589042
ptq_int8,2,1,10,0.0684931506849315
ptq_int8,2,2,24,0.1643835616438356
ptq_int8,2,3,23,0.15753424657534246
ptq_int8,2,4,2,0.0136986301369863
ptq_int8,3,0,6,0.08695652173913043
ptq_int8,3,1,2,0.028985507246376812
ptq_int8,3,2,14,0.2028985507246377
ptq_int8,3,3,31,0.4492753623188406
ptq_int8,3,4,16,0.2318840579710145
ptq_int8,4,0,4,0.2
ptq_int8,4,1,1,0.05
ptq_int8,4,2,3,0.15
ptq_int8,4,3,3,0.15
ptq_int8,4,4,9,0.45
qat_int8,0,0,215,0.8113207547169812
qat_int8,0,1,17,0.06415094339622641
qat_int8,0,2,23,0.08679245283018867
qat_int8,0,3,8,0.03018867924528302
qat_int8,0,4,2,0.007547169811320755
qat_int8,1,0,40,0.8
qat_int8,1,1,2,0.04
qat_int8,1,2,6,0.12
qat_int8,1,3,2,0.04
qat_int8,1,4,0,0.0
qat_int8,2,0,92,0.6301369863013698
qat_int8,2,1,11,0.07534246575342465
qat_int8,2,2,24,0.1643835616438356
qat_int8,2,3,15,0.10273972602739725
qat_int8,2,4,4,0.0273972602739726
qat_int8,3,0,10,0.14492753623188406
qat_int8,3,1,2,0.028985507246376812
qat_int8,3,2,16,0.2318840579710145
qat_int8,3,3,30,0.43478260869565216
qat_int8,3,4,11,0.15942028985507245
qat_int8,4,0,4,0.2
qat_int8,4,1,2,0.1
qat_int8,4,2,3,0.15
qat_int8,4,3,3,0.15
qat_int8,4,4,8,0.4
