metric,condition,mean,sd,n_seeds
ShiftL1,dual_no_distill,0.35335102677345276,0.004550200606835746,5
ShiftL1,dual_logitkd,0.38747307658195496,0.0553941489932693,5
ShiftL1,dual_featkd,0.34693806767463686,0.019724252939703837,5
ShiftL1,dual_csd,0.32175817489624026,0.012935996630306671,5
ShiftL1,abl_csd_counterfactual,0.33309823274612427,0.0,1
CosAgree,dual_no_distill,0.2634330227971077,0.1004535924573375,5
CosAgree,dual_logitkd,0.18812037891475483,0.19658017956211507,5
CosAgree,dual_featkd,0.2784622490406036,0.08653211633328076,5
CosAgree,dual_csd,0.36213353276252747,0.026814418409450196,5
CosAgree,abl_csd_counterfactual,0.27452996373176575,0.0,1
BenefitCorr,dual_no_distill,0.14082696453403845,0.041343000661040345,5
BenefitCorr,dual_logitkd,0.09537745047789734,0.1342218363083351,5
BenefitCorr,dual_featkd,0.16521252426713035,0.11247589534506346,5
BenefitCorr,dual_csd,0.31012903544694337,0.0641633949578655,5
BenefitCorr,abl_csd_counterfactual,0.021122314843687207,0.0,1
