metric,condition,mean,sd
QWK,teacher,0.6543846289028177,0.0
QWK,macula_only,0.43465814767498,0.01483407480326959
QWK,disc_only,0.4645432980169485,0.013336899398357149
QWK,dual_no_distill,0.5124372752503477,0.02272646448967205
QWK,dual_logitkd,0.5545896758970358,0.028454700198863588
QWK,dual_featkd,0.5484324279212272,0.017713858154372403
QWK,dual_csd,0.5295694301251348,0.02814941777910191
MacroF1,teacher,0.35792836902915576,0.0
MacroF1,macula_only,0.3207847335169538,0.014110887850069151
MacroF1,disc_only,0.32156348026955817,0.02310206436631736
MacroF1,dual_no_distill,0.33841134486149094,0.014985631371664473
MacroF1,dual_logitkd,0.3465038431640844,0.01872906879752965
MacroF1,dual_featkd,0.3492676220534967,0.014282524414130747
MacroF1,dual_csd,0.3406423753542178,0.020821728214680438
Accuracy,teacher,0.5436363636363636,0.0
Accuracy,macula_only,0.44145454545454543,0.00434084959502303
Accuracy,disc_only,0.4538181818181818,0.040769458671051514
Accuracy,dual_no_distill,0.4825454545454545,0.022621572385448426
Accuracy,dual_logitkd,0.5076363636363637,0.015923370215135506
Accuracy,dual_featkd,0.5021818181818183,0.02336911856445037
Accuracy,dual_csd,0.48036363636363627,0.03407332880035628
