metric,condition,mean,sd
MAE,teacher,0.7090909090909091,0.0
MAE,macula_only,0.9367272727272727,0.019216040131804158
MAE,disc_only,0.8763636363636363,0.05456060395681332
MAE,dual_no_distill,0.8341818181818181,0.027705654761891584
MAE,dual_logitkd,0.7952727272727274,0.027321169100017237
MAE,dual_featkd,0.8076363636363636,0.023962781057987752
MAE,dual_csd,0.8425454545454546,0.055989963681519296
SevereErrorRate,teacher,0.22181818181818183,0.0
SevereErrorRate,macula_only,0.308,0.004912456758584115
SevereErrorRate,disc_only,0.2781818181818182,0.016363636363636375
SevereErrorRate,dual_no_distill,0.2745454545454546,0.010833068443466357
SevereErrorRate,dual_logitkd,0.2596363636363636,0.013569533205123854
SevereErrorRate,dual_featkd,0.2669090909090909,0.009394916860191858
SevereErrorRate,dual_csd,0.2701818181818182,0.020991930759813242
