condition,true,pred,count,normalized
dual_no_distill,0,0,210,0.7924528301886793
dual_no_distill,0,1,9,0.033962264150943396
dual_no_distill,0,2,32,0.12075471698113208
dual_no_distill,0,3,12,0.045283018867924525
dual_no_distill,0,4,2,0.007547169811320755
dual_no_distill,1,0,33,0.66
dual_no_distill,1,1,5,0.1
dual_no_distill,1,2,10,0.2
dual_no_distill,1,3,1,0.02
dual_no_distill,1,4,1,0.02
dual_no_distill,2,0,80,0.547945205479452
dual_no_distill,2,1,19,0.13013698630136986
dual_no_distill,2,2,29,0.19863013698630136
dual_no_distill,2,3,16,0.1095890410958904
dual_no_distill,2,4,2,0.0136986301369863
dual_no_distill,3,0,5,0.07246376811594203
dual_no_distill,3,1,0,0.0
dual_no_distill,3,2,15,0.21739130434782608
dual_no_distill,3,3,22,0.3188405797101449
dual_no_distill,3,4,27,0.391304347826087
dual_no_distill,4,0,2,0.1
dual_no_distill,4,1,2,0.1
dual_no_distill,4,2,4,0.2
dual_no_distill,4,3,4,0.2
dual_no_distill,4,4,8,0.4
dual_logitkd,0,0,212,0.8
dual_logitkd,0,1,14,0.052830188679245285
dual_logitkd,0,2,30,0.11320754716981132
dual_logitkd,0,3,7,0.026415094339622643
dual_logitkd,0,4,2,0.007547169811320755
dual_logitkd,1,0,35,0.7
dual_logitkd,1,1,2,0.04
dual_logitkd,1,2,7,0.14
dual_logitkd,1,3,3,0.06
dual_logitkd,1,4,3,0.06
dual_logitkd,2,0,76,0.5205479452054794
dual_logitkd,2,1,8,0.0547945205479452
dual_logitkd,2,2,37,0.2534246575342466
dual_logitkd,2,3,16,0.1095890410958904
dual_logitkd,2,4,9,0.06164383561643835
dual_logitkd,3,0,5,0.07246376811594203
dual_logitkd,3,1,4,0.057971014492753624
dual_logitkd,3,2,9,0.13043478260869565
dual_logitkd,3,3,22,0.3188405797101449
dual_logitkd,3,4,29,0.42028985507246375
dual_logitkd,4,0,1,0.05
dual_logitkd,4,1,0,0.0
dual_logitkd,4,2,6,0.3
dual_logitkd,4,3,3,0.15
dual_logitkd,4,4,10,0.5
dual_featkd,0,0,231,0.8716981132075472
dual_featkd,0,1,9,0.033962264150943396
dual_featkd,0,2,20,0.07547169811320754
dual_featkd,0,3,3,0.011320754716981131
dual_featkd,0,4,2,0.007547169811320755
dual_featkd,1,0,40,0.8
dual_featkd,1,1,2,0.04
dual_featkd,1,2,5,0.1
dual_featkd,1,3,2,0.04
dual_featkd,1,4,1,0.02
dual_featkd,2,0,94,0.6438356164383562
dual_featkd,2,1,7,0.04794520547945205
dual_featkd,2,2,28,0.1917808219178082
dual_featkd,2,3,16,0.1095890410958904
dual_featkd,2,4,1,0.00684931506849315
dual_featkd,3,0,9,0.13043478260869565
dual_featkd,3,1,6,0.08695652173913043
dual_featkd,3,2,19,0.2753623188405797
dual_featkd,3,3,21,0.30434782608695654
dual_featkd,3,4,14,0.2028985507246377
dual_featkd,4,0,3,0.15
dual_featkd,4,1,2,0.1
dual_featkd,4,2,4,0.2
dual_featkd,4,3,0,0.0
dual_featkd,4,4,11,0.55
dual_csd,0,0,223,0.8415094339622642
dual_csd,0,1,18,0.06792452830188679
dual_csd,0,2,18,0.06792452830188679
dual_csd,0,3,3,0.011320754716981131
dual_csd,0,4,3,0.011320754716981131
dual_csd,1,0,33,0.66
dual_csd,1,1,10,0.2
dual_csd,1,2,4,0.08
dual_csd,1,3,2,0.04
dual_csd,1,4,1,0.02
dual_csd,2,0,86,0.589041095890411
dual_csd,2,1,15,0.10273972602739725
dual_csd,2,2,24,0.1643835616438356
dual_csd,2,3,20,0.136986301369863
dual_csd,2,4,1,0.00684931506849315
dual_csd,3,0,8,0.11594202898550725
dual_csd,3,1,5,0.07246376811594203
dual_csd,3,2,13,0.18840579710144928
dual_csd,3,3,25,0.36231884057971014
dual_csd,3,4,18,0.2608695652173913
dual_csd,4,0,6,0.3
dual_csd,4,1,2,0.1
dual_csd,4,2,1,0.05
dual_csd,4,3,3,0.15
dual_csd,4,4,8,0.4
