metric,condition,mean,sd,n_seeds
QWK,teacher,0.660965489322943,0.0,1
QWK,macula_only,0.4312890058802295,0.010138700042777499,3
QWK,disc_only,0.4160516486780825,0.0524699180302773,3
QWK,dual_no_distill,0.4890120034994313,0.02375943709937342,5
QWK,dual_logitkd,0.47895535951873924,0.02780147072934782,5
QWK,dual_featkd,0.5189821590294518,0.01594759588920238,5
QWK,dual_csd,0.48087667932036976,0.012338118264419468,5
MacroF1,teacher,0.3759224130564812,0.0,1
MacroF1,macula_only,0.31082029776771186,0.006596537937263858,3
MacroF1,disc_only,0.3329391716316315,0.019645188120585914,3
MacroF1,dual_no_distill,0.3517400216545368,0.021613007083304395,5
MacroF1,dual_logitkd,0.3494942571768287,0.030404514004182755,5
MacroF1,dual_featkd,0.35916737249076,0.03670654707880789,5
MacroF1,dual_csd,0.3473457279821345,0.02865239204648783,5
Accuracy,teacher,0.5418181818181819,0.0,1
Accuracy,macula_only,0.4587878787878788,0.016893769533050117,3
Accuracy,disc_only,0.44,0.05671445076538988,3
Accuracy,dual_no_distill,0.4763636363636364,0.039772077916777025,5
Accuracy,dual_logitkd,0.4756363636363636,0.0383459674951682,5
Accuracy,dual_featkd,0.4945454545454545,0.02784253242020644,5
Accuracy,dual_csd,0.4825454545454546,0.02142062032730639,5
