condition,grade,sensitivity
teacher,0,0.8188679245283019
teacher,1,0.08
teacher,2,0.2945205479452055
teacher,3,0.3188405797101449
teacher,4,0.6
best_fp32,0,0.7433962264150943
best_fp32,1,0.06
best_fp32,2,0.1780821917808219
best_fp32,3,0.4492753623188406
best_fp32,4,0.45
dual_csd,0,0.7471698113207548
dual_csd,1,0.064
dual_csd,2,0.2123287671232877
dual_csd,3,0.3478260869565217
dual_csd,4,0.45999999999999996
ptq_int8,0,0.7471698113207547
ptq_int8,1,0.04
ptq_int8,2,0.1643835616438356
ptq_int8,3,0.4492753623188406
ptq_int8,4,0.45
qat_int8,0,0.8163522012578617
qat_int8,1,0.04
qat_int8,2,0.1735159817351598
qat_int8,3,0.38164251207729466
qat_int8,4,0.43333333333333335
