metric,condition,internal_DRTiD,external_DeepDRiD,delta_external_minus_internal
QWK,teacher,0.660965489322943,0.7292316949343762,0.06826620561143326
QWK,best_fp32,0.49898618616219026,0.49554896142433236,-0.0034372247378579024
QWK,best_csd_fp32,,0.5536620004057619,
QWK,ptq_int8,0.49996529946561175,0.4977425862139946,-0.002222713251617159
QWK,qat_int8,0.5020912257346118,0.5008435465205449,-0.001247679214066988
MacroF1,teacher,0.3759224130564812,0.36391125462215507,-0.012011158434326152
MacroF1,best_fp32,0.35460685708989975,0.3577305761203745,0.0031237190304747586
MacroF1,best_csd_fp32,,0.37694802409763534,
MacroF1,ptq_int8,0.34549645919690175,0.3637493475791348,0.018252888382233046
MacroF1,qat_int8,0.34825794055353,0.4000316255534472,0.05177368499991719
Accuracy,teacher,0.5418181818181819,0.53,-0.011818181818181839
Accuracy,best_fp32,0.48363636363636364,0.425,-0.05863636363636365
Accuracy,best_csd_fp32,,0.43,
Accuracy,ptq_int8,0.48,0.42,-0.06
Accuracy,qat_int8,0.5066666666666667,0.47,-0.036666666666666736
