metric,condition,mean,sd
QWK,teacher,0.7364012657793695,0.0
QWK,macula_only,0.5174768322544733,0.019258032772937656
QWK,disc_only,0.5502059577250457,0.006670989669902035
QWK,dual_no_distill,0.6042485578806823,0.01656031764749819
QWK,dual_logitkd,0.5941851307708934,0.029027392270192232
QWK,dual_featkd,0.616148231443159,0.010122863570773364
QWK,dual_csd,0.6018483730340752,0.014898420804506641
MacroF1,teacher,0.38870340127725794,0.0
MacroF1,macula_only,0.33304241344691854,0.02385604047175053
MacroF1,disc_only,0.34215054755972274,0.013896940021840403
MacroF1,dual_no_distill,0.33550722818538853,0.011898259576552125
MacroF1,dual_logitkd,0.35887479633664243,0.02775653781288709
MacroF1,dual_featkd,0.3434898699223573,0.011314895711103182
MacroF1,dual_csd,0.33622254492421677,0.01517519978023939
Accuracy,teacher,0.5909090909090909,0.0
Accuracy,macula_only,0.4672727272727273,0.026379305688267116
Accuracy,disc_only,0.4803636363636364,0.013569533205123845
Accuracy,dual_no_distill,0.4792727272727273,0.01887759614897078
Accuracy,dual_logitkd,0.5061818181818183,0.03841057017054608
Accuracy,dual_featkd,0.5098181818181818,0.01693936683469399
Accuracy,dual_csd,0.5032727272727273,0.017599774604116457
