metric,condition,mean,sd
MAE,teacher,0.5909090909090909,0.0
MAE,macula_only,0.8523636363636363,0.02399724502094025
MAE,disc_only,0.8047272727272727,0.010802509656373065
MAE,dual_no_distill,0.8105454545454543,0.03163322868479905
MAE,dual_logitkd,0.7774545454545455,0.06457233755145857
MAE,dual_featkd,0.7701818181818181,0.02783065673938462
MAE,dual_csd,0.7901818181818181,0.025015697551076646
SevereErrorRate,teacher,0.17636363636363636,0.0
SevereErrorRate,macula_only,0.2741818181818182,0.008371537769615517
SevereErrorRate,disc_only,0.25490909090909086,0.012156010654870377
SevereErrorRate,dual_no_distill,0.2505454545454545,0.01268825187081303
SevereErrorRate,dual_logitkd,0.24872727272727274,0.018736978949801083
SevereErrorRate,dual_featkd,0.23963636363636365,0.010710310163653196
SevereErrorRate,dual_csd,0.2581818181818182,0.00813115628181742
