condition,true,pred,count,normalized
dual_no_distill,0,0,209,0.7886792452830189
dual_no_distill,0,1,25,0.09433962264150944
dual_no_distill,0,2,21,0.07924528301886792
dual_no_distill,0,3,7,0.026415094339622643
dual_no_distill,0,4,3,0.011320754716981131
dual_no_distill,1,0,32,0.64
dual_no_distill,1,1,4,0.08
dual_no_distill,1,2,7,0.14
dual_no_distill,1,3,5,0.1
dual_no_distill,1,4,2,0.04
dual_no_distill,2,0,74,0.5068493150684932
dual_no_distill,2,1,11,0.07534246575342465
dual_no_distill,2,2,32,0.2191780821917808
dual_no_distill,2,3,18,0.1232876712328767
dual_no_distill,2,4,11,0.07534246575342465
dual_no_distill,3,0,2,0.028985507246376812
dual_no_distill,3,1,1,0.014492753623188406
dual_no_distill,3,2,8,0.11594202898550725
dual_no_distill,3,3,18,0.2608695652173913
dual_no_distill,3,4,40,0.5797101449275363
dual_no_distill,4,0,1,0.05
dual_no_distill,4,1,0,0.0
dual_no_distill,4,2,3,0.15
dual_no_distill,4,3,4,0.2
dual_no_distill,4,4,12,0.6
dual_logitkd,0,0,181,0.6830188679245283
dual_logitkd,0,1,33,0.12452830188679245
dual_logitkd,0,2,33,0.12452830188679245
dual_logitkd,0,3,11,0.04150943396226415
dual_logitkd,0,4,7,0.026415094339622643
dual_logitkd,1,0,25,0.5
dual_logitkd,1,1,8,0.16
dual_logitkd,1,2,9,0.18
dual_logitkd,1,3,6,0.12
dual_logitkd,1,4,2,0.04
dual_logitkd,2,0,67,0.4589041095890411
dual_logitkd,2,1,21,0.14383561643835616
dual_logitkd,2,2,23,0.15753424657534246
dual_logitkd,2,3,25,0.17123287671232876
dual_logitkd,2,4,10,0.0684931506849315
dual_logitkd,3,0,3,0.043478260869565216
dual_logitkd,3,1,0,0.0
dual_logitkd,3,2,14,0.2028985507246377
dual_logitkd,3,3,19,0.2753623188405797
dual_logitkd,3,4,33,0.4782608695652174
dual_logitkd,4,0,0,0.0
dual_logitkd,4,1,2,0.1
dual_logitkd,4,2,4,0.2
dual_logitkd,4,3,2,0.1
dual_logitkd,4,4,12,0.6
dual_featkd,0,0,226,0.8528301886792453
dual_featkd,0,1,9,0.033962264150943396
dual_featkd,0,2,18,0.06792452830188679
dual_featkd,0,3,11,0.04150943396226415
dual_featkd,0,4,1,0.0037735849056603774
dual_featkd,1,0,32,0.64
dual_featkd,1,1,3,0.06
dual_featkd,1,2,10,0.2
dual_featkd,1,3,4,0.08
dual_featkd,1,4,1,0.02
dual_featkd,2,0,74,0.5068493150684932
dual_featkd,2,1,8,0.0547945205479452
dual_featkd,2,2,27,0.18493150684931506
dual_featkd,2,3,26,0.1780821917808219
dual_featkd,2,4,11,0.07534246575342465
dual_featkd,3,0,2,0.028985507246376812
dual_featkd,3,1,2,0.028985507246376812
dual_featkd,3,2,8,0.11594202898550725
dual_featkd,3,3,24,0.34782608695652173
dual_featkd,3,4,33,0.4782608695652174
dual_featkd,4,0,2,0.1
dual_featkd,4,1,1,0.05
dual_featkd,4,2,2,0.1
dual_featkd,4,3,3,0.15
dual_featkd,4,4,12,0.6
dual_csd,0,0,194,0.7320754716981132
dual_csd,0,1,18,0.06792452830188679
dual_csd,0,2,42,0.15849056603773584
dual_csd,0,3,10,0.03773584905660377
dual_csd,0,4,1,0.0037735849056603774
dual_csd,1,0,31,0.62
dual_csd,1,1,4,0.08
dual_csd,1,2,8,0.16
dual_csd,1,3,5,0.1
dual_csd,1,4,2,0.04
dual_csd,2,0,67,0.4589041095890411
dual_csd,2,1,10,0.0684931506849315
dual_csd,2,2,34,0.2328767123287671
dual_csd,2,3,24,0.1643835616438356
dual_csd,2,4,11,0.07534246575342465
dual_csd,3,0,2,0.028985507246376812
dual_csd,3,1,1,0.014492753623188406
dual_csd,3,2,7,0.10144927536231885
dual_csd,3,3,18,0.2608695652173913
dual_csd,3,4,41,0.5942028985507246
dual_csd,4,0,1,0.05
dual_csd,4,1,0,0.0
dual_csd,4,2,5,0.25
dual_csd,4,3,2,0.1
dual_csd,4,4,12,0.6
