metric,condition,value
QWK,teacher,0.7922540436266509
QWK,best_fp32,0.6688289454797254
QWK,fp32_ft_control,0.6567383824133344
QWK,ptq_int8,0.6728636632491382
QWK,ft_ptq_int8,0.6513141030082726
QWK,qat_int8,0.6344239856622755
MacroF1,teacher,0.3874663023679417
MacroF1,best_fp32,0.3439154596467373
MacroF1,fp32_ft_control,0.3513547652052285
MacroF1,ptq_int8,0.36354285266059216
MacroF1,ft_ptq_int8,0.3674829672370401
MacroF1,qat_int8,0.3473812791648254
Accuracy,teacher,0.61
Accuracy,best_fp32,0.538
Accuracy,fp32_ft_control,0.5309999999999999
Accuracy,ptq_int8,0.5509999999999999
Accuracy,ft_ptq_int8,0.537
Accuracy,qat_int8,0.525
SevereErrorRate,teacher,0.105
SevereErrorRate,best_fp32,0.17400000000000002
SevereErrorRate,fp32_ft_control,0.191
SevereErrorRate,ptq_int8,0.171
SevereErrorRate,ft_ptq_int8,0.192
SevereErrorRate,qat_int8,0.20600000000000002
