metric,condition,internal,external,delta
QWK,teacher,0.7364012657793695,0.7922540436266509,0.055852777847281376
QWK,best_fp32,0.6018483730340752,0.6688289454797254,0.06698057244565014
QWK,fp32_ft_control,0.6125387762239966,0.6567383824133344,0.044199606189337826
QWK,ptq_int8,0.5854446760923646,0.6728636632491382,0.08741898715677354
QWK,ft_ptq_int8,0.5827991007778514,0.6513141030082726,0.06851500223042128
QWK,qat_int8,0.595581654275861,0.6344239856622755,0.038842331386414575
MacroF1,teacher,0.38870340127725794,0.3874663023679417,-0.0012370989093162255
MacroF1,best_fp32,0.33622254492421677,0.3439154596467373,0.0076929147225205385
MacroF1,fp32_ft_control,0.33366412409682017,0.3513547652052285,0.017690641108408345
MacroF1,ptq_int8,0.35446755017250187,0.36354285266059216,0.009075302488090298
MacroF1,ft_ptq_int8,0.34131916301808224,0.3674829672370401,0.026163804218957865
MacroF1,qat_int8,0.3410913412124593,0.3473812791648254,0.006289937952366098
Accuracy,teacher,0.5909090909090909,0.61,0.019090909090909047
Accuracy,best_fp32,0.5032727272727273,0.538,0.03472727272727272
Accuracy,fp32_ft_control,0.508,0.5309999999999999,0.02299999999999991
Accuracy,ptq_int8,0.5112727272727272,0.5509999999999999,0.03972727272727272
Accuracy,ft_ptq_int8,0.4912727272727272,0.537,0.04572727272727284
Accuracy,qat_int8,0.5105454545454545,0.525,0.014454545454545498
