epoch,val_QWK,val_QWK_fakequant,train_total_loss,learning_rate
0,0.5965048975957257,0.5965048975957257,0.8470419442653656,3e-05
1,0.5669696450008574,0.5669696450008574,0.853392767906189,3e-05
2,0.6010044642857142,0.6010044642857142,0.8593639865517616,3e-05
3,0.5776839297621694,0.5776839297621694,0.8243496483564376,3e-05
4,0.5756172839506173,0.5756172839506173,0.8264548283815384,3e-05
5,0.6385670245561815,0.6385670245561815,0.8117435896396636,3e-05
6,0.5695553021664767,0.5695553021664767,0.8008228129148484,3e-05
7,0.5813953488372092,0.5813953488372092,0.844764601290226,3e-05
8,0.5665901262916189,0.5665901262916189,0.8337335374951362,3e-05
9,0.5895892971899281,0.5895892971899281,0.8130682483315468,3e-05
