epoch,val_QWK,val_QWK_fakequant,train_total_loss,learning_rate
0,0.5643810816926906,0.606760853400446,0.8862244629859924,3e-05
1,0.5683661645422944,0.5631760370854629,0.8800075280666352,3e-05
2,0.5822640433418877,0.5757837215990796,0.9037885344028473,3e-05
3,0.5881038815973192,0.6154694305088484,0.8114678835868836,3e-05
4,0.5796473138438104,0.5972889186067716,0.8803890937566757,3e-05
5,0.6211708274283222,0.60431654676259,0.8596264520287513,3e-05
6,0.5624142661179699,0.5845879335340693,0.8567078247666359,3e-05
7,0.5825133539499578,0.5573583831483062,0.8635311007499695,3e-05
8,0.610609168006208,0.5866364665911665,0.8350773015618325,3e-05
9,0.5964932652113331,0.6137055545981962,0.8532304489612579,3e-05
