condition,seed,quantization,view_mode,decision_threshold,QWK,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,WeightedPrecision,WeightedRecall,WeightedF1,MAE,SevereErrorRate,ExactAccuracy,AdjacentErrorRate,AdjacentAccuracy,Precision_Grade0,Recall_Grade0,F1_Grade0,Support_Grade0,Specificity_Grade0,Precision_Grade1,Recall_Grade1,F1_Grade1,Support_Grade1,Specificity_Grade1,Precision_Grade2,Recall_Grade2,F1_Grade2,Support_Grade2,Specificity_Grade2,Precision_Grade3,Recall_Grade3,F1_Grade3,Support_Grade3,Specificity_Grade3,Precision_Grade4,Recall_Grade4,F1_Grade4,Support_Grade4,Specificity_Grade4,OrdinalViolationRate,OrdinalThreshold_Brier,OrdinalThreshold_ECE,Threshold0_MAEProb,Threshold1_MAEProb,Threshold2_MAEProb,Threshold3_MAEProb,QWK_dual,QWK_aux_macula,QWK_aux_disc,DualViewGain_G_aux,ParamCount,CheckpointSize_MB,Latency_median_ms,Latency_mean_ms,Latency_sd_ms,Latency_p95_ms,Latency_p99_ms,Latency_block_IQR_ms,Throughput_pairs_per_s,Throughput_images_per_s,bench_runs,bench_repeats,ShiftL1,ShiftMAE,CosAgree,BenefitCorr,BenefitCorrSpearman,CF_ShiftL1,CF_ShiftMAE,CF_CosAgree,CF_BenefitCorr,CF_BenefitCorrSpearman,ModelLoadRSSDelta_MB,InferenceRSSDelta_MB,PeakRSS_during_inference_MB,RSS_scope,DualViewGain_G_independent
teacher,-,FP32,dual,0.5,0.7364012657793695,0.5909090909090909,0.4609336569761126,0.384632097487264,0.4609336569761126,0.38870340127725794,0.5410463774900525,0.5909090909090909,0.5415645373187914,0.5909090909090909,0.17636363636363636,0.5909090909090909,0.23272727272727273,0.8236363636363636,0.7017045454545454,0.9320754716981132,0.8006482982171799,265,0.631578947368421,0.0,0.0,0.0,50,0.976,0.5352112676056338,0.2602739726027397,0.35023041474654376,146,0.9183168316831684,0.4032258064516129,0.36231884057971014,0.3816793893129771,69,0.9230769230769231,0.2830188679245283,0.75,0.410958904109589,20,0.9283018867924528,0.0,0.10663175582885742,0.0376485749469562,0.2826443612575531,0.25572746992111206,0.15166430175304413,0.11016698181629181,0.7364012657793695,0.6863530294110218,0.6639593686376672,0.050048236368347654,40313932,154.0890407562256,627.609693499835,628.8298025819757,12.886114519660445,650.1068493987987,663.9327048699124,1.6132519995153416,1.5933469644542113,3.1866939289084226,500,5,,,,,,,,,,,,,,,0.1782058098152961
macula_only,42,FP32,macula_only,0.5,0.5304313873278151,0.42727272727272725,0.3408417783871052,0.3086315052058103,0.3408417783871052,0.31388429926259753,0.4487066559014253,0.42727272727272725,0.4352171838722058,0.8818181818181818,0.2672727272727273,0.42727272727272725,0.3054545454545455,0.7327272727272728,0.6468253968253969,0.6150943396226415,0.6305609284332688,265,0.6877192982456141,0.045454545454545456,0.06,0.05172413793103448,50,0.874,0.3114754098360656,0.2602739726027397,0.2835820895522388,146,0.7920792079207921,0.34375,0.3188405797101449,0.3308270676691729,69,0.9126819126819127,0.1956521739130435,0.45,0.2727272727272727,20,0.930188679245283,0.0,0.14324994385242462,0.07745442930439657,0.38923734426498413,0.37562456727027893,0.23116646707057953,0.13514666259288788,,,,,328588,1.2940635681152344,35.88654549912462,36.50076772720713,3.2623568401486285,41.2917461496363,42.90254629951953,0.7171095003286609,27.86559659314082,55.73119318628164,500,5,,,,,,,,,,,,,,,
macula_only,123,FP32,macula_only,0.5,0.48374655647382925,0.4727272727272727,0.3532598469439356,0.3284062527479142,0.3532598469439356,0.3318359671321437,0.4429324852401623,0.4727272727272727,0.45173669444659176,0.8709090909090909,0.2818181818181818,0.4727272727272727,0.24545454545454545,0.7181818181818181,0.620253164556962,0.7396226415094339,0.6746987951807228,265,0.5789473684210527,0.07317073170731707,0.06,0.06593406593406594,50,0.924,0.29523809523809524,0.21232876712328766,0.24701195219123506,146,0.8168316831683168,0.39622641509433965,0.30434782608695654,0.3442622950819672,69,0.9334719334719335,0.2571428571428571,0.45,0.32727272727272727,20,0.9509433962264151,0.0,0.14388683438301086,0.04027349809354003,0.3875507712364197,0.3663184940814972,0.21598568558692932,0.11626635491847992,,,,,328588,1.2941579818725586,35.75229049965856,36.52221554280622,2.176875141262494,41.09074924899687,42.45796896091633,0.20100900019315304,27.9702359212356,55.9404718424712,500,5,,,,,,,,,,,,,,,
macula_only,2026,FP32,macula_only,0.5,0.5286819933970377,0.4618181818181818,0.3377922842662411,0.3196141136339409,0.3377922842662411,0.32271274327552746,0.4548982146375814,0.4618181818181818,0.4555422551440817,0.8454545454545455,0.2636363636363636,0.4618181818181818,0.27454545454545454,0.7363636363636363,0.6388888888888888,0.6943396226415094,0.6654611211573237,265,0.6350877192982456,0.07547169811320754,0.08,0.07766990291262135,50,0.902,0.3333333333333333,0.2602739726027397,0.2923076923076923,146,0.8118811881188119,0.3559322033898305,0.30434782608695654,0.328125,69,0.920997920997921,0.19444444444444445,0.35,0.25,20,0.9452830188679245,0.0,0.1401711255311966,0.047958427031778474,0.38905078172683716,0.3763655126094818,0.21466077864170074,0.12098782509565353,,,,,328588,1.2942523956298828,35.3220915003476,36.240882641987994,2.16220292825413,40.99085970001397,42.077180909000155,0.14597449990105815,28.310894330539835,56.62178866107967,500,5,,,,,,,,,,,,,,,
macula_only,3407,FP32,macula_only,0.5,0.5240762044167507,0.5,0.38834423005607566,0.3770229299001534,0.38834423005607566,0.37417890481254534,0.4742807774805407,0.5,0.47914054378800924,0.8218181818181818,0.2818181818181818,0.5,0.21818181818181817,0.7181818181818181,0.6191950464396285,0.7547169811320755,0.6802721088435374,265,0.5684210526315789,0.2391304347826087,0.22,0.22916666666666666,50,0.93,0.3404255319148936,0.2191780821917808,0.26666666666666666,146,0.8465346534653465,0.43636363636363634,0.34782608695652173,0.3870967741935484,69,0.9355509355509356,0.25,0.4,0.3076923076923077,20,0.9547169811320755,0.0,0.14021331071853638,0.03463278603147377,0.3898240923881531,0.36731114983558655,0.2028493732213974,0.11347609758377075,,,,,328588,1.2942523956298828,35.63257400037401,36.47633464118262,2.2553677308332603,41.27159470062906,42.89673183930062,0.30128000071272254,28.064208889021145,56.12841777804229,500,5,,,,,,,,,,,,,,,
macula_only,8888,FP32,macula_only,0.5,0.5204480196569332,0.47454545454545455,0.336514959113878,0.3310681707233431,0.336514959113878,0.3226001527517785,0.4525130121368366,0.47454545454545455,0.4556892797699644,0.8418181818181818,0.27636363636363637,0.47454545454545455,0.24909090909090909,0.7236363636363636,0.6144200626959248,0.7396226415094339,0.6712328767123288,265,0.5684210526315789,0.11363636363636363,0.1,0.10638297872340426,50,0.922,0.3333333333333333,0.2465753424657534,0.28346456692913385,146,0.8217821782178217,0.40476190476190477,0.2463768115942029,0.3063063063063063,69,0.9480249480249481,0.1891891891891892,0.35,0.24561403508771928,20,0.9433962264150944,0.0,0.14131957292556763,0.03466153310273182,0.3898271322250366,0.37331628799438477,0.20449939370155334,0.11380727589130402,,,,,328588,1.2942523956298828,35.9669080007734,36.67863862962986,2.2944573602071423,41.5129271996193,42.61294118010482,0.2419934999124962,27.80333522076729,55.60667044153458,500,5,,,,,,,,,,,,,,,
disc_only,42,FP32,disc_only,0.5,0.5511262854623564,0.4727272727272727,0.37792022804829173,0.3512219871226082,0.37792022804829173,0.3561246239672589,0.4701345135196066,0.4727272727272727,0.46886194864111996,0.8145454545454546,0.2581818181818182,0.4727272727272727,0.2690909090909091,0.7418181818181818,0.6485507246376812,0.6754716981132075,0.6617375231053605,265,0.6596491228070176,0.057692307692307696,0.06,0.058823529411764705,50,0.902,0.34782608695652173,0.3287671232876712,0.3380281690140845,146,0.7772277227722773,0.3877551020408163,0.2753623188405797,0.3220338983050847,69,0.9376299376299376,0.3142857142857143,0.55,0.4,20,0.9547169811320755,0.0,0.13565702736377716,0.05444329091771083,0.3991144001483917,0.3739957809448242,0.2261498123407364,0.1113922968506813,,,,,328588,1.293813705444336,36.53292000035435,37.218800062782975,2.304964599541041,41.85746760058464,43.72444552094748,0.20862449855485465,27.37257246314558,54.74514492629116,500,5,,,,,,,,,,,,,,,
disc_only,123,FP32,disc_only,0.5,0.5581954559640734,0.4709090909090909,0.34991596525335156,0.3413048270897932,0.34991596525335156,0.3401230044990484,0.4702476897310887,0.4709090909090909,0.46839288639864257,0.7981818181818182,0.24545454545454545,0.4709090909090909,0.28363636363636363,0.7545454545454545,0.6594202898550725,0.6867924528301886,0.6728280961182994,265,0.6701754385964912,0.07272727272727272,0.08,0.0761904761904762,50,0.898,0.3333333333333333,0.3219178082191781,0.32752613240418116,146,0.7673267326732673,0.3829787234042553,0.2608695652173913,0.3103448275862069,69,0.9397089397089398,0.25806451612903225,0.4,0.3137254901960784,20,0.9566037735849057,0.0,0.13168570399284363,0.053028961718082426,0.39109858870506287,0.3693159222602844,0.2280244082212448,0.11114701628684998,,,,,328588,1.2939691543579102,36.50304849998065,37.218589570816405,2.3393869532888973,41.95574729965301,43.62681856027847,0.4115189994990942,27.39497223089546,54.78994446179092,500,5,,,,,,,,,,,,,,,
disc_only,2026,FP32,disc_only,0.5,0.5539462529238124,0.5,0.36062803930162085,0.35150696952115396,0.36062803930162085,0.3429602910855751,0.47739206918639554,0.5,0.478938752783153,0.7890909090909091,0.25636363636363635,0.5,0.24363636363636362,0.7436363636363637,0.6327160493827161,0.7735849056603774,0.6960950764006791,265,0.5824561403508772,0.06382978723404255,0.06,0.061855670103092786,50,0.912,0.40384615384615385,0.2876712328767123,0.336,146,0.8465346534653465,0.4,0.2318840579710145,0.29357798165137616,69,0.9501039501039501,0.2571428571428571,0.45,0.32727272727272727,20,0.9509433962264151,0.0,0.13546507060527802,0.023609865351834083,0.38418862223625183,0.35012921690940857,0.2024940699338913,0.1041753888130188,,,,,328588,1.2940635681152344,35.93750999971235,36.66622584481229,2.265572916031177,41.256600999622606,42.78115337965572,0.2377324999542907,27.826079213835467,55.65215842767093,500,5,,,,,,,,,,,,,,,
disc_only,3407,FP32,disc_only,0.5,0.5469894929943012,0.4890909090909091,0.3761780559707223,0.3607252048819633,0.3761780559707223,0.35144239701697355,0.47033692789441023,0.4890909090909091,0.4702119237105413,0.8090909090909091,0.2727272727272727,0.4890909090909091,0.2381818181818182,0.7272727272727273,0.6325878594249201,0.7471698113207547,0.6851211072664359,265,0.5964912280701754,0.10204081632653061,0.1,0.10101010101010101,50,0.912,0.3474576271186441,0.2808219178082192,0.3106060606060606,146,0.8094059405940595,0.42424242424242425,0.2028985507246377,0.27450980392156865,69,0.9604989604989606,0.2972972972972973,0.55,0.38596491228070173,20,0.9509433962264151,0.0,0.1333281695842743,0.030906929104504263,0.3867332637310028,0.35919252038002014,0.21276073157787323,0.10457289218902588,,,,,328588,1.2940635681152344,37.05476999948587,37.559478046785806,3.29558674867093,42.47908544975871,44.10339045973159,1.0362235007050913,26.987078856888733,53.974157713777466,500,5,,,,,,,,,,,,,,,
