,ShiftL1,ShiftL1,ShiftMAE,ShiftMAE,CosAgree,CosAgree,BenefitCorr,BenefitCorr,BenefitCorrSpearman,BenefitCorrSpearman,CF_ShiftL1,CF_ShiftL1,CF_CosAgree,CF_CosAgree,DualViewGain_G_aux,DualViewGain_G_aux,DualViewGain_G_independent,DualViewGain_G_independent
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
condition,,,,,,,,,,,,,,,,,,
abl_csd_counterfactual,0.3576,0.0079,0.0894,0.002,0.4327,0.0365,0.2544,0.0581,0.4367,0.027,0.2314,0.0137,0.6992,0.0823,0.0378,0.01,0.0584,0.0176
abl_csd_kl_softmax,0.3885,0.0127,0.0971,0.0032,0.3274,0.0601,0.1082,0.0967,0.3259,0.0738,0.4111,0.0717,-0.0621,0.3315,0.0213,0.0136,0.0555,0.004
abl_csd_raw_smoothl1,0.3746,0.0037,0.0937,0.0009,0.4017,0.0211,0.2036,0.0611,0.3599,0.0458,0.4754,0.1269,-0.0349,0.6865,0.0369,0.017,0.0634,0.0095
best_fp32,0.3509,0.0124,0.0877,0.0031,0.4361,0.0444,0.3075,0.0842,0.4532,0.0595,0.3759,0.0712,0.1511,0.4736,0.0131,0.007,0.0516,0.0166
dual_csd,0.3509,0.0124,0.0877,0.0031,0.4361,0.0444,0.3075,0.0842,0.4532,0.0595,0.3759,0.0712,0.1511,0.4736,0.0131,0.007,0.0516,0.0166
dual_featkd,0.3718,0.0125,0.093,0.0031,0.3815,0.0623,0.1943,0.1084,0.3799,0.0681,0.3201,0.0593,0.7316,0.0945,0.018,0.0142,0.0659,0.0081
dual_logitkd,0.384,0.0236,0.096,0.0059,0.2858,0.1317,0.1795,0.1316,0.2895,0.1281,0.3447,0.0473,0.3237,0.4287,0.041,0.0137,0.044,0.0304
dual_no_distill,0.3759,0.0115,0.094,0.0029,0.3509,0.1028,0.2193,0.0982,0.3596,0.101,0.3539,0.0199,0.3575,0.1664,0.0306,0.0095,0.054,0.021
fp32_ft_control,,,,,,,,,,,,,,,0.0275,0.014,0.0623,0.0081
fp32_ft_plain,,,,,,,,,,,,,,,0.0211,0.0114,0.0549,0.008
ft_ptq_int8,,,,,,,,,,,,,,,0.0261,0.0154,0.0326,0.0277
ptq_int8,,,,,,,,,,,,,,,0.0236,0.0249,0.0352,0.0273
qat_int8,,,,,,,,,,,,,,,0.0365,0.0105,0.0454,0.0135
teacher,,,,,,,,,,,,,,,0.05,,0.1782,
