condition,ParamCount,CheckpointSize_MB,Latency_median_ms,Latency_mean_ms,Latency_sd_ms,Latency_p95_ms,Latency_p99_ms,Latency_block_IQR_ms,Throughput_pairs_per_s,Throughput_images_per_s,PeakRSS_during_inference_MB,Speedup_vs_teacher,CompressionRatio_vs_teacher,SizeReduction_vs_teacher_pct
teacher,40313932.0,154.089,627.6097,628.8298,12.8861,650.1068,663.9327,1.6133,1.5933,3.1867,,1.0,1.0,0.0
macula_only,328588.0,1.2942,35.7121,36.4838,2.4303,41.2316,42.5895,0.3215,28.0029,56.0057,,17.57,119.06,99.16
disc_only,328588.0,1.294,36.2631,36.9744,2.7023,41.7037,43.4996,0.4703,27.5839,55.1678,,17.31,119.08,99.16
dual_no_distill,328588.0,1.2946,32.6354,33.1581,1.5773,36.5704,37.9167,0.194,30.6418,61.2835,,19.23,119.02,99.16
dual_logitkd,328588.0,1.2943,32.4967,33.0054,1.7924,36.2412,37.7618,0.2217,30.776,61.5521,,19.31,119.05,99.16
dual_featkd,328588.0,1.2942,32.3287,32.7538,1.4035,35.765,37.1025,0.1113,30.9343,61.8686,,19.41,119.06,99.16
dual_csd,328588.0,1.2939,32.5535,33.0588,1.963,36.5155,37.9994,0.4932,30.7261,61.4521,,19.28,119.09,99.16
abl_csd_raw_smoothl1,328588.0,1.295,32.5699,33.0517,1.483,36.1354,37.5857,0.2372,30.7049,61.4097,,19.27,118.99,99.16
abl_csd_kl_softmax,328588.0,1.2948,32.6335,33.1727,2.2922,36.6011,38.3651,0.6509,30.6484,61.2969,,19.23,119.01,99.16
abl_csd_counterfactual,328588.0,1.2952,32.5594,33.0495,1.5435,36.2643,37.7838,0.2437,30.7145,61.4291,,19.28,118.97,99.16
best_fp32,328588.0,1.2935,32.4902,32.8878,1.6417,35.8755,37.2251,0.1549,30.7811,61.5623,5076.5508,19.32,119.13,99.16
fp32_ft_control,328588.0,1.3806,57.1771,57.8087,3.0212,62.8086,65.0169,0.3286,17.4896,34.9792,,10.98,111.61,99.1
fp32_ft_plain,328588.0,1.2931,32.3242,32.8143,1.6756,35.7986,37.105,0.1812,30.9397,61.8794,,19.42,119.16,99.16
ptq_int8,328588.0,0.9507,11.2378,11.2885,0.2583,11.7112,12.0831,0.0496,88.987,177.974,5508.7227,55.85,162.08,99.38
ft_ptq_int8,328588.0,0.9509,11.2592,11.2934,0.2057,11.6778,11.9305,0.0495,88.817,177.6339,,55.74,162.05,99.38
qat_int8,328588.0,0.9507,11.3468,11.3837,0.3857,11.8359,12.4924,0.1028,88.1341,176.2681,5508.7578,55.31,162.08,99.38
