condition,seed,quantization,subset,n_patients,metric,point,ci_low,ci_high
teacher,-,FP32,setC,100,QWK,0.7922540436266509,0.715184286829221,0.8549935571594183
teacher,-,FP32,setC,100,Accuracy,0.61,0.53,0.69
teacher,-,FP32,setC,100,MacroF1,0.3874663023679417,0.31452613590045964,0.45469106442373386
teacher,-,FP32,setC,100,MAE,0.52,0.4098750000000001,0.635
teacher,-,FP32,setC,100,SevereErrorRate,0.105,0.065,0.15
best_fp32,42,FP32,setC,100,QWK,0.6281800391389433,0.511652407067819,0.7257412496636242
best_fp32,42,FP32,setC,100,Accuracy,0.51,0.44,0.58
best_fp32,42,FP32,setC,100,MacroF1,0.3366257825755606,0.2761885822510823,0.38893149132283883
best_fp32,42,FP32,setC,100,MAE,0.775,0.635,0.92
best_fp32,42,FP32,setC,100,SevereErrorRate,0.175,0.12,0.235
best_fp32,123,FP32,setC,100,QWK,0.6504701422734209,0.5278981173878629,0.7489955161234838
best_fp32,123,FP32,setC,100,Accuracy,0.535,0.46,0.61
best_fp32,123,FP32,setC,100,MacroF1,0.35528713926572975,0.28579911524141,0.4194841426390593
best_fp32,123,FP32,setC,100,MAE,0.73,0.59,0.875
best_fp32,123,FP32,setC,100,SevereErrorRate,0.2,0.14,0.26
best_fp32,2026,FP32,setC,100,QWK,0.6435316336166194,0.5188578986603084,0.7430737252717395
best_fp32,2026,FP32,setC,100,Accuracy,0.495,0.42,0.57
best_fp32,2026,FP32,setC,100,MacroF1,0.3195679142136249,0.25044248796550483,0.3867540520227003
best_fp32,2026,FP32,setC,100,MAE,0.77,0.63,0.915
best_fp32,2026,FP32,setC,100,SevereErrorRate,0.175,0.125,0.23
best_fp32,3407,FP32,setC,100,QWK,0.7298198005189365,0.6295854875493228,0.8102906564975905
best_fp32,3407,FP32,setC,100,Accuracy,0.57,0.495,0.645
best_fp32,3407,FP32,setC,100,MacroF1,0.3568494008416154,0.29477798039357017,0.41302846385119857
best_fp32,3407,FP32,setC,100,MAE,0.625,0.5,0.755
best_fp32,3407,FP32,setC,100,SevereErrorRate,0.15,0.095,0.205
best_fp32,8888,FP32,setC,100,QWK,0.6921431118507072,0.5794228755609717,0.7861114331218741
best_fp32,8888,FP32,setC,100,Accuracy,0.58,0.505,0.655
best_fp32,8888,FP32,setC,100,MacroF1,0.35124706133715594,0.29116885490215694,0.40406636721091665
best_fp32,8888,FP32,setC,100,MAE,0.655,0.515,0.8
best_fp32,8888,FP32,setC,100,SevereErrorRate,0.17,0.115,0.225
csd_fp32,42,FP32,setC,100,QWK,0.6281800391389433,0.511652407067819,0.7257412496636242
csd_fp32,42,FP32,setC,100,Accuracy,0.51,0.44,0.58
csd_fp32,42,FP32,setC,100,MacroF1,0.3366257825755606,0.2761885822510823,0.38893149132283883
csd_fp32,42,FP32,setC,100,MAE,0.775,0.635,0.92
csd_fp32,42,FP32,setC,100,SevereErrorRate,0.175,0.12,0.235
csd_fp32,123,FP32,setC,100,QWK,0.6504701422734209,0.5278981173878629,0.7489955161234838
csd_fp32,123,FP32,setC,100,Accuracy,0.535,0.46,0.61
csd_fp32,123,FP32,setC,100,MacroF1,0.35528713926572975,0.28579911524141,0.4194841426390593
csd_fp32,123,FP32,setC,100,MAE,0.73,0.59,0.875
csd_fp32,123,FP32,setC,100,SevereErrorRate,0.2,0.14,0.26
csd_fp32,2026,FP32,setC,100,QWK,0.6435316336166194,0.5188578986603084,0.7430737252717395
csd_fp32,2026,FP32,setC,100,Accuracy,0.495,0.42,0.57
csd_fp32,2026,FP32,setC,100,MacroF1,0.3195679142136249,0.25044248796550483,0.3867540520227003
csd_fp32,2026,FP32,setC,100,MAE,0.77,0.63,0.915
csd_fp32,2026,FP32,setC,100,SevereErrorRate,0.175,0.125,0.23
csd_fp32,3407,FP32,setC,100,QWK,0.7298198005189365,0.6295854875493228,0.8102906564975905
csd_fp32,3407,FP32,setC,100,Accuracy,0.57,0.495,0.645
csd_fp32,3407,FP32,setC,100,MacroF1,0.3568494008416154,0.29477798039357017,0.41302846385119857
csd_fp32,3407,FP32,setC,100,MAE,0.625,0.5,0.755
csd_fp32,3407,FP32,setC,100,SevereErrorRate,0.15,0.095,0.205
csd_fp32,8888,FP32,setC,100,QWK,0.6921431118507072,0.5794228755609717,0.7861114331218741
csd_fp32,8888,FP32,setC,100,Accuracy,0.58,0.505,0.655
csd_fp32,8888,FP32,setC,100,MacroF1,0.35124706133715594,0.29116885490215694,0.40406636721091665
csd_fp32,8888,FP32,setC,100,MAE,0.655,0.515,0.8
