condition,seed,quantization,subset,field_order,role,eyes,patients,QWK,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,WeightedPrecision,WeightedRecall,WeightedF1,MAE,SevereErrorRate,ExactAccuracy,AdjacentErrorRate,AdjacentAccuracy,Precision_Grade0,Recall_Grade0,F1_Grade0,Support_Grade0,Specificity_Grade0,Precision_Grade1,Recall_Grade1,F1_Grade1,Support_Grade1,Specificity_Grade1,Precision_Grade2,Recall_Grade2,F1_Grade2,Support_Grade2,Specificity_Grade2,Precision_Grade3,Recall_Grade3,F1_Grade3,Support_Grade3,Specificity_Grade3,Precision_Grade4,Recall_Grade4,F1_Grade4,Support_Grade4,Specificity_Grade4,OrdinalViolationRate,OrdinalThreshold_Brier,OrdinalThreshold_ECE,Threshold0_MAEProb,Threshold1_MAEProb,Threshold2_MAEProb,Threshold3_MAEProb
teacher,-,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.7922540436266509,0.61,0.43022222222222223,0.3842787878787879,0.43022222222222223,0.3874663023679417,0.5510363636363637,0.61,0.5673474499089253,0.52,0.105,0.61,0.285,0.895,0.752,0.94,0.8355555555555556,100,0.69,0.0,0.0,0.0,18,0.978021978021978,0.48,0.3333333333333333,0.39344262295081966,36,0.9207317073170732,0.4166666666666667,0.2777777777777778,0.3333333333333333,36,0.9146341463414634,0.2727272727272727,0.6,0.375,10,0.9157894736842105,0.0,0.08812566101551056,0.03279989063041285,0.22682243585586548,0.17760877311229706,0.15338239073753357,0.12878748774528503
best_fp32,42,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6281800391389433,0.51,0.37622222222222224,0.3397772154063846,0.37622222222222224,0.3366257825755606,0.5268563115174698,0.51,0.5119571308107029,0.775,0.175,0.51,0.315,0.825,0.7938144329896907,0.77,0.7817258883248731,100,0.8,0.15384615384615385,0.1111111111111111,0.12903225806451613,18,0.9395604395604396,0.4375,0.3888888888888889,0.4117647058823529,36,0.8902439024390244,0.16666666666666666,0.1111111111111111,0.13333333333333333,36,0.8780487804878049,0.14705882352941177,0.5,0.22727272727272727,10,0.8473684210526315,0.0,0.13336384296417236,0.08728355368599294,0.2967289686203003,0.28302353620529175,0.23611150681972504,0.18687395751476288
best_fp32,123,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6504701422734209,0.535,0.38933333333333336,0.35524202820338346,0.38933333333333336,0.35528713926572975,0.5227086510711185,0.535,0.521467242837448,0.73,0.2,0.535,0.265,0.8,0.7155963302752294,0.78,0.7464114832535885,100,0.69,0.0,0.0,0.0,18,0.9505494505494505,0.38235294117647056,0.3611111111111111,0.37142857142857144,36,0.8719512195121951,0.4782608695652174,0.3055555555555556,0.3728813559322034,36,0.926829268292683,0.2,0.5,0.2857142857142857,10,0.8947368421052632,0.0,0.12683694064617157,0.05901004954241216,0.3308566212654114,0.3040529489517212,0.20265857875347137,0.1580181121826172
best_fp32,2026,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6435316336166194,0.495,0.37044444444444447,0.31650188521156264,0.37044444444444447,0.3195679142136249,0.4845475492249686,0.495,0.48182453742640874,0.77,0.175,0.495,0.33,0.825,0.7428571428571429,0.78,0.7609756097560976,100,0.73,0.14285714285714285,0.1111111111111111,0.125,18,0.9340659340659341,0.32142857142857145,0.25,0.28125,36,0.8841463414634146,0.18181818181818182,0.1111111111111111,0.13793103448275862,36,0.8902439024390244,0.1935483870967742,0.6,0.2926829268292683,10,0.868421052631579,0.0,0.13131392002105713,0.07957094751298427,0.32601845264434814,0.2996053695678711,0.22195248305797577,0.17410700023174286
best_fp32,3407,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.7298198005189365,0.57,0.39266666666666666,0.36924052259584494,0.39266666666666666,0.3568494008416154,0.5547722424502034,0.57,0.5497846157962136,0.625,0.15,0.57,0.28,0.85,0.7652173913043478,0.88,0.8186046511627907,100,0.73,0.0,0.0,0.0,18,0.945054945054945,0.48,0.3333333333333333,0.39344262295081966,36,0.9207317073170732,0.42857142857142855,0.25,0.3157894736842105,36,0.926829268292683,0.1724137931034483,0.5,0.2564102564102564,10,0.8736842105263158,0.0,0.11007247865200043,0.0425897747091949,0.26347559690475464,0.24296759068965912,0.17671051621437073,0.16967418789863586
best_fp32,8888,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6921431118507072,0.58,0.3931111111111111,0.3991341746993258,0.3931111111111111,0.35124706133715594,0.5675443538765864,0.58,0.5409789147822521,0.655,0.17,0.58,0.25,0.83,0.7165354330708661,0.91,0.801762114537445,100,0.64,0.0,0.0,0.0,18,0.978021978021978,0.48148148148148145,0.3611111111111111,0.4126984126984127,36,0.9146341463414634,0.6363636363636364,0.19444444444444445,0.2978723404255319,36,0.975609756097561,0.16129032258064516,0.5,0.24390243902439024,10,0.8631578947368421,0.0,0.11500924825668335,0.03492196699604393,0.29208508133888245,0.24757948517799377,0.16582511365413666,0.15402916073799133
csd_fp32,42,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6281800391389433,0.51,0.37622222222222224,0.3397772154063846,0.37622222222222224,0.3366257825755606,0.5268563115174698,0.51,0.5119571308107029,0.775,0.175,0.51,0.315,0.825,0.7938144329896907,0.77,0.7817258883248731,100,0.8,0.15384615384615385,0.1111111111111111,0.12903225806451613,18,0.9395604395604396,0.4375,0.3888888888888889,0.4117647058823529,36,0.8902439024390244,0.16666666666666666,0.1111111111111111,0.13333333333333333,36,0.8780487804878049,0.14705882352941177,0.5,0.22727272727272727,10,0.8473684210526315,0.0,0.13336384296417236,0.08728355368599294,0.2967289686203003,0.28302353620529175,0.23611150681972504,0.18687395751476288
csd_fp32,123,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6504701422734209,0.535,0.38933333333333336,0.35524202820338346,0.38933333333333336,0.35528713926572975,0.5227086510711185,0.535,0.521467242837448,0.73,0.2,0.535,0.265,0.8,0.7155963302752294,0.78,0.7464114832535885,100,0.69,0.0,0.0,0.0,18,0.9505494505494505,0.38235294117647056,0.3611111111111111,0.37142857142857144,36,0.8719512195121951,0.4782608695652174,0.3055555555555556,0.3728813559322034,36,0.926829268292683,0.2,0.5,0.2857142857142857,10,0.8947368421052632,0.0,0.12683694064617157,0.05901004954241216,0.3308566212654114,0.3040529489517212,0.20265857875347137,0.1580181121826172
csd_fp32,2026,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6435316336166194,0.495,0.37044444444444447,0.31650188521156264,0.37044444444444447,0.3195679142136249,0.4845475492249686,0.495,0.48182453742640874,0.77,0.175,0.495,0.33,0.825,0.7428571428571429,0.78,0.7609756097560976,100,0.73,0.14285714285714285,0.1111111111111111,0.125,18,0.9340659340659341,0.32142857142857145,0.25,0.28125,36,0.8841463414634146,0.18181818181818182,0.1111111111111111,0.13793103448275862,36,0.8902439024390244,0.1935483870967742,0.6,0.2926829268292683,10,0.868421052631579,0.0,0.13131392002105713,0.07957094751298427,0.32601845264434814,0.2996053695678711,0.22195248305797577,0.17410700023174286
csd_fp32,3407,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.7298198005189365,0.57,0.39266666666666666,0.36924052259584494,0.39266666666666666,0.3568494008416154,0.5547722424502034,0.57,0.5497846157962136,0.625,0.15,0.57,0.28,0.85,0.7652173913043478,0.88,0.8186046511627907,100,0.73,0.0,0.0,0.0,18,0.945054945054945,0.48,0.3333333333333333,0.39344262295081966,36,0.9207317073170732,0.42857142857142855,0.25,0.3157894736842105,36,0.926829268292683,0.1724137931034483,0.5,0.2564102564102564,10,0.8736842105263158,0.0,0.11007247865200043,0.0425897747091949,0.26347559690475464,0.24296759068965912,0.17671051621437073,0.16967418789863586
csd_fp32,8888,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6921431118507072,0.58,0.3931111111111111,0.3991341746993258,0.3931111111111111,0.35124706133715594,0.5675443538765864,0.58,0.5409789147822521,0.655,0.17,0.58,0.25,0.83,0.7165354330708661,0.91,0.801762114537445,100,0.64,0.0,0.0,0.0,18,0.978021978021978,0.48148148148148145,0.3611111111111111,0.4126984126984127,36,0.9146341463414634,0.6363636363636364,0.19444444444444445,0.2978723404255319,36,0.975609756097561,0.16129032258064516,0.5,0.24390243902439024,10,0.8631578947368421,0.0,0.11500924825668335,0.03492196699604393,0.29208508133888245,0.24757948517799377,0.16582511365413666,0.15402916073799133
fp32_ft_control,42,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6297192642787997,0.56,0.4017777777777777,0.40083868992959903,0.4017777777777777,0.37294868883104176,0.5442633914906643,0.56,0.5344643861702686,0.72,0.18,0.56,0.26,0.82,0.71900826446281,0.87,0.7873303167420814,100,0.66,0.25,0.16666666666666666,0.2,18,0.9505494505494505,0.5,0.2777777777777778,0.35714285714285715,36,0.9390243902439024,0.35,0.19444444444444445,0.25,36,0.9207317073170732,0.18518518518518517,0.5,0.2702702702702703,10,0.8842105263157894,0.0,0.1257280558347702,0.04166571930982173,0.3021129369735718,0.2731053829193115,0.20152895152568817,0.15911982953548431
fp32_ft_control,123,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6334241940031957,0.5,0.3791111111111111,0.31937948105155345,0.3791111111111111,0.3291641340807276,0.49500042676681466,0.5,0.49186961121991857,0.79,0.21,0.5,0.29,0.79,0.7326732673267327,0.74,0.736318407960199,100,0.73,0.0,0.0,0.0,18,0.9505494505494505,0.3125,0.2777777777777778,0.29411764705882354,36,0.8658536585365854,0.3448275862068966,0.2777777777777778,0.3076923076923077,36,0.8841463414634146,0.20689655172413793,0.6,0.3076923076923077,10,0.8789473684210526,0.0,0.13904447853565216,0.08977480286732316,0.33074820041656494,0.30948951840400696,0.21975980699062347,0.18112720549106598
fp32_ft_control,2026,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6279376442330336,0.485,0.37333333333333335,0.3459978668674321,0.37333333333333335,0.33734523105845265,0.5251793713532844,0.485,0.49671148314640573,0.8,0.2,0.485,0.315,0.8,0.7608695652173914,0.7,0.7291666666666666,100,0.78,0.1111111111111111,0.1111111111111111,0.1111111111111111,18,0.9120879120879121,0.34285714285714286,0.3333333333333333,0.3380281690140845,36,0.8597560975609756,0.36363636363636365,0.2222222222222222,0.27586206896551724,36,0.9146341463414634,0.15151515151515152,0.5,0.23255813953488372,10,0.8526315789473684,0.0,0.13485084474086761,0.10652554997242988,0.3325721323490143,0.3079514801502228,0.2348698079586029,0.1876886785030365
fp32_ft_control,3407,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.7019592514779889,0.57,0.3891111111111111,0.3764543700027571,0.3891111111111111,0.3552248677248677,0.5434863523573201,0.57,0.537876984126984,0.65,0.17,0.57,0.26,0.83,0.717741935483871,0.89,0.7946428571428571,100,0.65,0.0,0.0,0.0,18,0.9560439560439561,0.4166666666666667,0.2777777777777778,0.3333333333333333,36,0.9146341463414634,0.5555555555555556,0.2777777777777778,0.37037037037037035,36,0.9512195121951219,0.19230769230769232,0.5,0.2777777777777778,10,0.8894736842105263,0.0,0.11231826990842819,0.034107545129954814,0.2791879177093506,0.24897004663944244,0.1624564677476883,0.15527312457561493
fp32_ft_control,8888,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6906515580736544,0.54,0.4257777777777777,0.38400030282383224,0.4257777777777777,0.3620909043310527,0.5467675827087592,0.54,0.5262925559840917,0.715,0.195,0.54,0.265,0.805,0.7523809523809524,0.79,0.7707317073170732,100,0.74,0.16666666666666666,0.05555555555555555,0.08333333333333333,18,0.9725274725274725,0.4,0.3888888888888889,0.39436619718309857,36,0.8719512195121951,0.4117647058823529,0.19444444444444445,0.2641509433962264,36,0.9390243902439024,0.1891891891891892,0.7,0.2978723404255319,10,0.8421052631578947,0.0,0.12628920376300812,0.08677610537968576,0.30925101041793823,0.27405041456222534,0.19900602102279663,0.18810366094112396
ptq_int8,42,PTQ_INT8,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6325169652710921,0.495,0.37422222222222223,0.33812933610168633,0.37422222222222223,0.33721320204404387,0.5075119258621562,0.495,0.4956229486048525,0.785,0.19,0.495,0.315,0.81,0.7755102040816326,0.76,0.7676767676767676,100,0.78,0.26666666666666666,0.2222222222222222,0.24242424242424243,18,0.9395604395604396,0.3333333333333333,0.2777777777777778,0.30303030303030304,36,0.8780487804878049,0.15384615384615385,0.1111111111111111,0.12903225806451613,36,0.8658536585365854,0.16129032258064516,0.5,0.24390243902439024,10,0.8631578947368421,0.0,0.13322623074054718,0.08965887477621436,0.3006393611431122,0.28129658102989197,0.23734088242053986,0.1865198016166687
ptq_int8,123,PTQ_INT8,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6419806188801458,0.525,0.35666666666666663,0.3374981814112249,0.35666666666666663,0.33203496434589147,0.5117702982485591,0.525,0.5099703448321697,0.735,0.195,0.525,0.28,0.805,0.7207207207207207,0.8,0.7582938388625592,100,0.69,0.0,0.0,0.0,18,0.9395604395604396,0.34285714285714286,0.3333333333333333,0.3380281690140845,36,0.8597560975609756,0.45,0.25,0.32142857142857145,36,0.9329268292682927,0.17391304347826086,0.4,0.24242424242424243,10,0.9,0.0,0.12697967886924744,0.056074942578561604,0.3366905450820923,0.31089654564857483,0.20867492258548737,0.15223035216331482
ptq_int8,2026,PTQ_INT8,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6738094043257892,0.57,0.3984444444444445,0.38921957671957674,0.3984444444444445,0.3818551164633027,0.5516071428571429,0.57,0.5547627271541604,0.66,0.155,0.57,0.275,0.845,0.7767857142857143,0.87,0.8207547169811321,100,0.75,0.25,0.16666666666666666,0.2,18,0.9505494505494505,0.4074074074074074,0.3055555555555556,0.3492063492063492,36,0.9024390243902439,0.32142857142857145,0.25,0.28125,36,0.8841463414634146,0.19047619047619047,0.4,0.25806451612903225,10,0.9105263157894737,0.0,0.12132613360881805,0.05150718368589877,0.3157133162021637,0.2911251187324524,0.21334882080554962,0.15399259328842163
ptq_int8,3407,PTQ_INT8,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.7197255243065623,0.57,0.418,0.40473137973137974,0.418,0.3914854978242402,0.5768971306471307,0.57,0.564099140098126,0.63,0.15,0.57,0.28,0.85,0.7777777777777778,0.84,0.8076923076923077,100,0.76,0.125,0.1111111111111111,0.11764705882352941,18,0.9230769230769231,0.5,0.3055555555555556,0.3793103448275862,36,0.9329268292682927,0.42857142857142855,0.3333333333333333,0.375,36,0.9024390243902439,0.19230769230769232,0.5,0.2777777777777778,10,0.8894736842105263,0.0,0.11254306882619858,0.049858052721247076,0.2770231366157532,0.2595456838607788,0.18630409240722656,0.16355372965335846
ptq_int8,8888,PTQ_INT8,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6962858034621018,0.595,0.4097777777777778,0.3938112305854241,0.4097777777777778,0.37512548262548256,0.565194743130227,0.595,0.5624777992277993,0.635,0.165,0.595,0.24,0.835,0.7338709677419355,0.91,0.8125,100,0.67,0.0,0.0,0.0,18,0.9725274725274725,0.5,0.3333333333333333,0.4,36,0.926829268292683,0.55,0.3055555555555556,0.39285714285714285,36,0.9451219512195121,0.18518518518518517,0.5,0.2702702702702703,10,0.8842105263157894,0.0,0.11469828337430954,0.033890823563560844,0.2881406247615814,0.2506716251373291,0.18159180879592896,0.15849706530570984
