comparison,metric,n_seed_pairs,observed_diff,ci_low,ci_high,excludes_zero
fp32_ft_control_vs_best_fp32,QWK,5,-0.012090563066391002,-0.038273863592549036,0.015171725095914537,False
fp32_ft_control_vs_best_fp32,Accuracy,5,-0.006999999999999984,-0.048999999999999974,0.03499999999999999,False
fp32_ft_control_vs_best_fp32,MacroF1,5,0.007439305558491161,-0.030865611683674455,0.04714132697905025,False
fp32_ft_control_vs_best_fp32,MAE,5,0.024,-0.03500000000000001,0.083,False
fp32_ft_control_vs_best_fp32,SevereErrorRate,5,0.017000000000000005,-0.003999999999999987,0.039999999999999994,False
ptq_int8_vs_best_fp32,QWK,5,0.004034717769412799,-0.019092918865366383,0.02942015559677566,False
ptq_int8_vs_best_fp32,Accuracy,5,0.012999999999999989,-0.022,0.054000000000000006,False
ptq_int8_vs_best_fp32,MacroF1,5,0.019627393013854844,-0.020797813409280573,0.06319691024633892,False
ptq_int8_vs_best_fp32,MAE,5,-0.022,-0.07899999999999993,0.027999999999999935,False
ptq_int8_vs_best_fp32,SevereErrorRate,5,-0.002999999999999997,-0.022999999999999993,0.016999999999999998,False
qat_int8_vs_best_fp32,QWK,5,-0.034404959817449864,-0.07466624265983463,0.0018109184546771366,False
qat_int8_vs_best_fp32,Accuracy,5,-0.012999999999999979,-0.06799999999999999,0.041999999999999996,False
qat_int8_vs_best_fp32,MacroF1,5,0.003465819518088109,-0.047056830436668515,0.0525066821481088,False
qat_int8_vs_best_fp32,MAE,5,0.049999999999999975,-0.02999999999999996,0.137,False
qat_int8_vs_best_fp32,SevereErrorRate,5,0.03200000000000001,0.0009999999999999898,0.06900000000000002,True
ft_ptq_int8_vs_best_fp32,QWK,5,-0.017514842471452897,-0.05460115724340437,0.01423587755178679,False
ft_ptq_int8_vs_best_fp32,Accuracy,5,-0.0010000000000000009,-0.06300000000000001,0.048999999999999974,False
ft_ptq_int8_vs_best_fp32,MacroF1,5,0.023567507590302805,-0.027053102281725888,0.07261185369486627,False
ft_ptq_int8_vs_best_fp32,MAE,5,0.023,-0.04400000000000002,0.10999999999999996,False
ft_ptq_int8_vs_best_fp32,SevereErrorRate,5,0.018,-0.006,0.04499999999999999,False
qat_int8_vs_ptq_int8,QWK,5,-0.03843967758686266,-0.08259554491739077,-0.0005919613179582049,True
qat_int8_vs_ptq_int8,Accuracy,5,-0.025999999999999968,-0.10400000000000001,0.04700000000000002,False
qat_int8_vs_ptq_int8,MacroF1,5,-0.016161573495766735,-0.07319291447646213,0.03710189438339052,False
qat_int8_vs_ptq_int8,MAE,5,0.07199999999999998,-0.030000000000000027,0.19399999999999995,False
qat_int8_vs_ptq_int8,SevereErrorRate,5,0.035,-0.001999999999999996,0.07799999999999999,False
