alpha,tau_kd,run_name,seed,val_QWK,val_MacroF1
0.25,2.0,logitkd_alpha0.25_tau_kd2.0,42,0.6550385281643869,0.3327838992099082
0.25,2.0,logitkd_alpha0.25_tau_kd2.0,123,0.6307931904838623,0.3515840667749027
0.25,2.0,logitkd_alpha0.25_tau_kd2.0,2026,0.6588180167515961,0.35115914714332225
0.5,2.0,logitkd_alpha0.5_tau_kd2.0,42,0.631336405529954,0.33336586656862643
0.5,2.0,logitkd_alpha0.5_tau_kd2.0,123,0.6585527040422954,0.3636719699310061
0.5,2.0,logitkd_alpha0.5_tau_kd2.0,2026,0.6554410354745925,0.3619443750040062
0.5,4.0,logitkd_alpha0.5_tau_kd4.0,42,0.5975393279059803,0.29289287475717407
0.5,4.0,logitkd_alpha0.5_tau_kd4.0,123,0.6459469884829449,0.3321602970875087
0.5,4.0,logitkd_alpha0.5_tau_kd4.0,2026,0.6437934571982219,0.29519212625939084
1.0,2.0,logitkd_alpha1.0_tau_kd2.0,42,0.6247014670760832,0.30385748408889557
1.0,2.0,logitkd_alpha1.0_tau_kd2.0,123,0.6711069521660153,0.3081732194745893
1.0,2.0,logitkd_alpha1.0_tau_kd2.0,2026,0.5942790426152949,0.2842121758522419
