condition,grade,precision,recall,f1,specificity,support
teacher,0,0.7017,0.9321,0.8006,0.6316,265.0
teacher,1,0.0,0.0,0.0,0.976,50.0
teacher,2,0.5352,0.2603,0.3502,0.9183,146.0
teacher,3,0.4032,0.3623,0.3817,0.9231,69.0
teacher,4,0.283,0.75,0.411,0.9283,20.0
dual_no_distill,0,0.6662,0.7268,0.6943,0.6611,265.0
dual_no_distill,1,0.0942,0.084,0.0885,0.9212,50.0
dual_no_distill,2,0.3831,0.2233,0.2809,0.8673,146.0
dual_no_distill,3,0.3302,0.313,0.3192,0.9094,69.0
dual_no_distill,4,0.1929,0.63,0.2947,0.8996,20.0
dual_logitkd,0,0.6427,0.7834,0.7045,0.5937,265.0
dual_logitkd,1,0.0957,0.08,0.0849,0.9284,50.0
dual_logitkd,2,0.3763,0.1959,0.2561,0.8807,146.0
dual_logitkd,3,0.4189,0.3913,0.4041,0.9222,69.0
dual_logitkd,4,0.2529,0.56,0.3448,0.9351,20.0
dual_featkd,0,0.6672,0.8075,0.7299,0.6246,265.0
dual_featkd,1,0.124,0.08,0.0963,0.944,50.0
dual_featkd,2,0.3989,0.1863,0.2522,0.899,146.0
dual_featkd,3,0.3294,0.342,0.3354,0.8998,69.0
dual_featkd,4,0.207,0.58,0.3036,0.914,20.0
dual_csd,0,0.6522,0.803,0.719,0.6007,265.0
dual_csd,1,0.1218,0.068,0.087,0.9504,50.0
dual_csd,2,0.3651,0.1918,0.2494,0.8772,146.0
dual_csd,3,0.3506,0.3043,0.3234,0.9185,69.0
dual_csd,4,0.2058,0.58,0.3023,0.9136,20.0
best_fp32,0,0.6522,0.803,0.719,0.6007,265.0
best_fp32,1,0.1218,0.068,0.087,0.9504,50.0
best_fp32,2,0.3651,0.1918,0.2494,0.8772,146.0
best_fp32,3,0.3506,0.3043,0.3234,0.9185,69.0
best_fp32,4,0.2058,0.58,0.3023,0.9136,20.0
ptq_int8,0,0.6551,0.7826,0.7112,0.6133,265.0
ptq_int8,1,0.1203,0.064,0.0817,0.9508,50.0
ptq_int8,2,0.3938,0.2411,0.2951,0.8644,146.0
ptq_int8,3,0.3641,0.3565,0.3581,0.9098,69.0
ptq_int8,4,0.2369,0.54,0.3263,0.9325,20.0
qat_int8,0,0.6593,0.8113,0.7262,0.6077,265.0
qat_int8,1,0.1169,0.068,0.0854,0.9496,50.0
qat_int8,2,0.3782,0.1973,0.2564,0.8837,146.0
qat_int8,3,0.3509,0.3246,0.3369,0.9135,69.0
qat_int8,4,0.2065,0.56,0.3005,0.9177,20.0
