condition,QWK_mean,QWK_std,Accuracy_mean,Accuracy_std,BalancedAccuracy_mean,BalancedAccuracy_std,MacroPrecision_mean,MacroPrecision_std,MacroRecall_mean,MacroRecall_std,MacroF1_mean,MacroF1_std,WeightedPrecision_mean,WeightedPrecision_std,WeightedRecall_mean,WeightedRecall_std,WeightedF1_mean,WeightedF1_std,MAE_mean,MAE_std,SevereErrorRate_mean,SevereErrorRate_std,ExactAccuracy_mean,ExactAccuracy_std,AdjacentErrorRate_mean,AdjacentErrorRate_std,AdjacentAccuracy_mean,AdjacentAccuracy_std,OrdinalThreshold_ECE_mean,OrdinalThreshold_ECE_std,OrdinalThreshold_Brier_mean,OrdinalThreshold_Brier_std
teacher,0.7364,,0.5909,,0.4609,,0.3846,,0.4609,,0.3887,,0.541,,0.5909,,0.5416,,0.5909,,0.1764,,0.5909,,0.2327,,0.8236,,0.0376,,0.1066,
macula_only,0.5175,0.0193,0.4673,0.0264,0.3514,0.0217,0.3329,0.0262,0.3514,0.0217,0.333,0.0239,0.4547,0.0119,0.4673,0.0264,0.4555,0.0157,0.8524,0.024,0.2742,0.0084,0.4673,0.0264,0.2585,0.033,0.7258,0.0084,0.047,0.0179,0.1418,0.0017
disc_only,0.5502,0.0067,0.4804,0.0136,0.3594,0.0191,0.345,0.0154,0.3594,0.0191,0.3422,0.0139,0.4682,0.0091,0.4804,0.0136,0.4684,0.0082,0.8047,0.0108,0.2549,0.0122,0.4804,0.0136,0.2647,0.023,0.7451,0.0122,0.0381,0.0145,0.1343,0.0018
dual_no_distill,0.6042,0.0166,0.4793,0.0189,0.3954,0.0133,0.3333,0.0132,0.3954,0.0133,0.3355,0.0119,0.4797,0.0131,0.4793,0.0189,0.4679,0.0108,0.8105,0.0316,0.2505,0.0127,0.4793,0.0189,0.2702,0.0071,0.7495,0.0127,0.0501,0.0047,0.1288,0.0015
dual_logitkd,0.5942,0.029,0.5062,0.0384,0.4021,0.0205,0.3573,0.031,0.4021,0.0205,0.3589,0.0278,0.48,0.0212,0.5062,0.0384,0.4784,0.0259,0.7775,0.0646,0.2487,0.0187,0.5062,0.0384,0.2451,0.0286,0.7513,0.0187,0.0583,0.0212,0.1335,0.009
dual_featkd,0.6161,0.0101,0.5098,0.0169,0.3992,0.0102,0.3453,0.0108,0.3992,0.0102,0.3435,0.0113,0.4875,0.0101,0.5098,0.0169,0.4805,0.0099,0.7702,0.0278,0.2396,0.0107,0.5098,0.0169,0.2505,0.0126,0.7604,0.0107,0.0595,0.0153,0.1306,0.0035
dual_csd,0.6018,0.0149,0.5033,0.0176,0.3894,0.0112,0.3391,0.0169,0.3894,0.0112,0.3362,0.0152,0.4737,0.0163,0.5033,0.0176,0.4721,0.0128,0.7902,0.025,0.2582,0.0081,0.5033,0.0176,0.2385,0.013,0.7418,0.0081,0.0556,0.0101,0.1338,0.0042
abl_csd_raw_smoothl1,0.6178,0.0082,0.5255,0.0094,0.4061,0.0119,0.3604,0.0187,0.4061,0.0119,0.3575,0.0272,0.4928,0.0128,0.5255,0.0094,0.4915,0.0138,0.7503,0.0105,0.2442,0.0073,0.5255,0.0094,0.2303,0.0111,0.7558,0.0073,0.0483,0.0051,0.1301,0.0023
abl_csd_kl_softmax,0.6099,0.0054,0.4927,0.0173,0.3867,0.0207,0.329,0.0234,0.3867,0.0207,0.3286,0.0259,0.4728,0.0053,0.4927,0.0173,0.4672,0.0113,0.7988,0.0383,0.2564,0.0101,0.4927,0.0173,0.2509,0.0083,0.7436,0.0101,0.0624,0.0215,0.1337,0.0065
abl_csd_counterfactual,0.6128,0.0165,0.5255,0.0258,0.4108,0.0126,0.3634,0.0315,0.4108,0.0126,0.3644,0.0237,0.4847,0.0197,0.5255,0.0258,0.4888,0.0187,0.7467,0.0375,0.2418,0.0083,0.5255,0.0258,0.2327,0.0175,0.7582,0.0083,0.0422,0.0112,0.1286,0.0056
best_fp32,0.6018,0.0149,0.5033,0.0176,0.3894,0.0112,0.3391,0.0169,0.3894,0.0112,0.3362,0.0152,0.4737,0.0163,0.5033,0.0176,0.4721,0.0128,0.7902,0.025,0.2582,0.0081,0.5033,0.0176,0.2385,0.013,0.7418,0.0081,0.0556,0.0101,0.1338,0.0042
fp32_ft_control,0.6125,0.0115,0.508,0.0158,0.39,0.0093,0.3354,0.0208,0.39,0.0093,0.3337,0.0169,0.4752,0.0142,0.508,0.0158,0.4747,0.0128,0.7771,0.0328,0.2502,0.0124,0.508,0.0158,0.2418,0.0088,0.7498,0.0124,0.0572,0.0153,0.1336,0.0046
fp32_ft_plain,0.6052,0.0085,0.5015,0.0172,0.3809,0.0081,0.3267,0.009,0.3809,0.0081,0.323,0.0101,0.4679,0.0092,0.5015,0.0172,0.4658,0.0066,0.7902,0.0285,0.252,0.0098,0.5015,0.0172,0.2465,0.0159,0.748,0.0098,0.0603,0.0167,0.1341,0.0053
ptq_int8,0.5854,0.0242,0.5113,0.0152,0.3969,0.0113,0.354,0.013,0.3969,0.0113,0.3545,0.0149,0.4854,0.009,0.5113,0.0152,0.4852,0.011,0.7855,0.0257,0.2571,0.0069,0.5113,0.0152,0.2316,0.0159,0.7429,0.0069,0.0601,0.0173,0.135,0.0059
