check,reported,recomputed,abs_diff,match
test_QWK::abl_csd_counterfactual::seed123::FP32,0.61653312,0.61653312,0.0,True
test_QWK::abl_csd_counterfactual::seed2026::FP32,0.59474105,0.59474105,0.0,True
test_QWK::abl_csd_counterfactual::seed42::FP32,0.62713761,0.62713761,0.0,True
test_QWK::abl_csd_kl_softmax::seed123::FP32,0.61181727,0.61181727,0.0,True
test_QWK::abl_csd_kl_softmax::seed2026::FP32,0.61406125,0.61406125,0.0,True
test_QWK::abl_csd_kl_softmax::seed42::FP32,0.60384975,0.60384975,0.0,True
test_QWK::abl_csd_raw_smoothl1::seed123::FP32,0.61987226,0.61987226,0.0,True
test_QWK::abl_csd_raw_smoothl1::seed2026::FP32,0.60875709,0.60875709,0.0,True
test_QWK::abl_csd_raw_smoothl1::seed42::FP32,0.62472747,0.62472747,0.0,True
test_QWK::best_fp32::seed123::FP32,0.61642452,0.61642452,0.0,True
test_QWK::best_fp32::seed2026::FP32,0.57767199,0.57767199,0.0,True
test_QWK::best_fp32::seed3407::FP32,0.61128513,0.61128513,0.0,True
test_QWK::best_fp32::seed42::FP32,0.60097497,0.60097497,0.0,True
test_QWK::best_fp32::seed8888::FP32,0.60288525,0.60288525,0.0,True
test_QWK::disc_only::seed123::FP32,0.55819546,0.55819546,0.0,True
test_QWK::disc_only::seed2026::FP32,0.55394625,0.55394625,0.0,True
test_QWK::disc_only::seed3407::FP32,0.54698949,0.54698949,0.0,True
test_QWK::disc_only::seed42::FP32,0.55112629,0.55112629,0.0,True
test_QWK::disc_only::seed8888::FP32,0.5407723,0.5407723,0.0,True
test_QWK::dual_csd::seed123::FP32,0.61642452,0.61642452,0.0,True
test_QWK::dual_csd::seed2026::FP32,0.57767199,0.57767199,0.0,True
test_QWK::dual_csd::seed3407::FP32,0.61128513,0.61128513,0.0,True
test_QWK::dual_csd::seed42::FP32,0.60097497,0.60097497,0.0,True
test_QWK::dual_csd::seed8888::FP32,0.60288525,0.60288525,0.0,True
test_QWK::dual_featkd::seed123::FP32,0.61957284,0.61957284,0.0,True
test_QWK::dual_featkd::seed2026::FP32,0.6151791,0.6151791,0.0,True
test_QWK::dual_featkd::seed3407::FP32,0.60950733,0.60950733,0.0,True
test_QWK::dual_featkd::seed42::FP32,0.63136272,0.63136272,0.0,True
test_QWK::dual_featkd::seed8888::FP32,0.60511917,0.60511917,0.0,True
test_QWK::dual_logitkd::seed123::FP32,0.59301742,0.59301742,0.0,True
test_QWK::dual_logitkd::seed2026::FP32,0.62346353,0.62346353,0.0,True
test_QWK::dual_logitkd::seed3407::FP32,0.60355282,0.60355282,0.0,True
test_QWK::dual_logitkd::seed42::FP32,0.54610568,0.54610568,0.0,True
test_QWK::dual_logitkd::seed8888::FP32,0.6047862,0.6047862,0.0,True
test_QWK::dual_no_distill::seed123::FP32,0.58550281,0.58550281,0.0,True
test_QWK::dual_no_distill::seed2026::FP32,0.59485207,0.59485207,0.0,True
test_QWK::dual_no_distill::seed3407::FP32,0.59896542,0.59896542,0.0,True
test_QWK::dual_no_distill::seed42::FP32,0.62690852,0.62690852,0.0,True
test_QWK::dual_no_distill::seed8888::FP32,0.61501397,0.61501397,0.0,True
test_QWK::fp32_ft_control::seed123::FP32,0.62376213,0.62376213,0.0,True
test_QWK::fp32_ft_control::seed2026::FP32,0.60613533,0.60613533,0.0,True
test_QWK::fp32_ft_control::seed3407::FP32,0.61489049,0.61489049,0.0,True
test_QWK::fp32_ft_control::seed42::FP32,0.62187404,0.62187404,0.0,True
test_QWK::fp32_ft_control::seed8888::FP32,0.59603189,0.59603189,0.0,True
test_QWK::fp32_ft_plain::seed123::FP32,0.61108135,0.61108135,0.0,True
