condition,seed,t,val_QWK,val_MacroF1,val_SER,val_Recall_Grade1,val_AdjacentAccuracy
dual_no_distill,42,0.4,0.6597,0.3173,0.21,0.1667,0.79
dual_no_distill,42,0.5,0.6535,0.2921,0.21,0.0,0.79
dual_no_distill,42,0.45,0.6496,0.3038,0.215,0.0,0.785
dual_no_distill,42,0.35,0.6385,0.3168,0.245,0.2222,0.755
dual_no_distill,42,0.55,0.6364,0.2979,0.23,0.0,0.77
dual_no_distill,42,0.6,0.6083,0.2718,0.245,0.0,0.755
dual_no_distill,42,0.65,0.5823,0.2456,0.25,0.0,0.75
dual_no_distill,123,0.55,0.615,0.3427,0.225,0.0,0.775
dual_no_distill,123,0.5,0.6044,0.3245,0.235,0.0,0.765
dual_no_distill,123,0.45,0.594,0.2875,0.255,0.0,0.745
dual_no_distill,123,0.6,0.5882,0.3077,0.23,0.0556,0.77
dual_no_distill,123,0.4,0.5872,0.2788,0.255,0.0,0.745
dual_no_distill,123,0.35,0.5869,0.2862,0.265,0.1111,0.735
dual_no_distill,123,0.65,0.5784,0.2779,0.25,0.0,0.75
dual_no_distill,2026,0.35,0.6641,0.3248,0.2,0.0556,0.8
dual_no_distill,2026,0.4,0.6454,0.3182,0.205,0.0556,0.795
dual_no_distill,2026,0.45,0.6436,0.3048,0.215,0.0,0.785
dual_no_distill,2026,0.5,0.6325,0.3104,0.205,0.0,0.795
dual_no_distill,2026,0.55,0.6223,0.3509,0.215,0.1111,0.785
dual_no_distill,2026,0.6,0.5939,0.3485,0.24,0.1111,0.76
dual_no_distill,2026,0.65,0.5808,0.3169,0.23,0.0,0.77
dual_no_distill,3407,0.55,0.628,0.3112,0.225,0.0556,0.775
dual_no_distill,3407,0.5,0.6271,0.3377,0.23,0.0556,0.77
dual_no_distill,3407,0.45,0.6149,0.3382,0.245,0.1111,0.755
dual_no_distill,3407,0.6,0.6139,0.3227,0.24,0.0556,0.76
dual_no_distill,3407,0.4,0.6057,0.3337,0.245,0.0556,0.755
dual_no_distill,3407,0.35,0.5907,0.3355,0.255,0.2222,0.745
dual_no_distill,3407,0.65,0.5896,0.3052,0.255,0.0,0.745
dual_no_distill,8888,0.35,0.6211,0.3329,0.255,0.1111,0.745
dual_no_distill,8888,0.45,0.6207,0.3078,0.235,0.0556,0.765
dual_no_distill,8888,0.4,0.6158,0.3095,0.24,0.0556,0.76
dual_no_distill,8888,0.5,0.615,0.2972,0.225,0.0,0.775
dual_no_distill,8888,0.55,0.6069,0.3349,0.225,0.1111,0.775
dual_no_distill,8888,0.6,0.5781,0.3191,0.225,0.0556,0.775
dual_no_distill,8888,0.65,0.5661,0.296,0.23,0.0,0.77
dual_logitkd,42,0.55,0.6062,0.308,0.225,0.0556,0.775
dual_logitkd,42,0.6,0.5882,0.2951,0.24,0.0,0.76
dual_logitkd,42,0.5,0.5809,0.3205,0.25,0.1667,0.75
dual_logitkd,42,0.65,0.5746,0.3067,0.26,0.0556,0.74
dual_logitkd,42,0.45,0.5409,0.3074,0.27,0.1667,0.73
dual_logitkd,42,0.4,0.5171,0.2909,0.31,0.1111,0.69
dual_logitkd,42,0.35,0.4611,0.2383,0.33,0.1111,0.67
dual_logitkd,123,0.5,0.6436,0.2892,0.205,0.0,0.795
dual_logitkd,123,0.4,0.6217,0.29,0.245,0.0,0.755
dual_logitkd,123,0.45,0.6157,0.2921,0.23,0.0,0.77
dual_logitkd,123,0.6,0.6104,0.3061,0.22,0.0,0.78
dual_logitkd,123,0.55,0.6058,0.2726,0.21,0.0,0.79
dual_logitkd,123,0.35,0.6038,0.3197,0.26,0.1667,0.74
dual_logitkd,123,0.65,0.5717,0.3112,0.245,0.0,0.755
dual_logitkd,2026,0.45,0.6676,0.3395,0.19,0.0556,0.81
dual_logitkd,2026,0.35,0.6425,0.3294,0.22,0.0556,0.78
dual_logitkd,2026,0.5,0.6423,0.3174,0.205,0.0,0.795
dual_logitkd,2026,0.4,0.6366,0.3299,0.22,0.0556,0.78
dual_logitkd,2026,0.55,0.6156,0.3461,0.22,0.0556,0.78
dual_logitkd,2026,0.6,0.5617,0.3162,0.235,0.0556,0.765
dual_logitkd,2026,0.65,0.544,0.3073,0.24,0.0556,0.76
dual_logitkd,3407,0.4,0.6527,0.2963,0.24,0.0556,0.76
dual_logitkd,3407,0.5,0.6523,0.2713,0.21,0.0,0.79
dual_logitkd,3407,0.45,0.6522,0.2669,0.225,0.0,0.775
dual_logitkd,3407,0.55,0.6495,0.2788,0.22,0.0,0.78
dual_logitkd,3407,0.35,0.6239,0.2959,0.26,0.0556,0.74
dual_logitkd,3407,0.6,0.6117,0.3013,0.245,0.0,0.755
dual_logitkd,3407,0.65,0.6104,0.3014,0.235,0.0556,0.765
dual_logitkd,8888,0.5,0.635,0.363,0.195,0.1667,0.805
dual_logitkd,8888,0.55,0.6162,0.3296,0.225,0.0,0.775
dual_logitkd,8888,0.6,0.6135,0.341,0.22,0.0,0.78
dual_logitkd,8888,0.45,0.598,0.3456,0.22,0.1667,0.78
dual_logitkd,8888,0.4,0.5816,0.3311,0.23,0.1111,0.77
dual_logitkd,8888,0.65,0.5768,0.324,0.255,0.0556,0.745
dual_logitkd,8888,0.35,0.5497,0.3484,0.265,0.2778,0.735
dual_featkd,42,0.5,0.681,0.3646,0.205,0.1111,0.795
dual_featkd,42,0.55,0.6668,0.3448,0.215,0.0556,0.785
dual_featkd,42,0.45,0.6662,0.3377,0.22,0.0556,0.78
dual_featkd,42,0.6,0.6501,0.3099,0.22,0.0,0.78
dual_featkd,42,0.4,0.6487,0.347,0.23,0.1111,0.77
dual_featkd,42,0.65,0.6338,0.2827,0.21,0.0,0.79
dual_featkd,42,0.35,0.6218,0.3271,0.24,0.1111,0.76
dual_featkd,123,0.35,0.6729,0.3057,0.19,0.0556,0.81
dual_featkd,123,0.4,0.6636,0.2841,0.21,0.0,0.79
dual_featkd,123,0.45,0.6485,0.2888,0.23,0.0,0.77
dual_featkd,123,0.5,0.6156,0.2968,0.24,0.0,0.76
dual_featkd,123,0.55,0.6136,0.298,0.23,0.0,0.77
dual_featkd,123,0.6,0.5869,0.2775,0.23,0.0,0.77
dual_featkd,123,0.65,0.5626,0.2825,0.24,0.0556,0.76
dual_featkd,2026,0.5,0.6548,0.3144,0.215,0.0,0.785
dual_featkd,2026,0.45,0.6508,0.3246,0.225,0.0556,0.775
dual_featkd,2026,0.55,0.6506,0.2998,0.2,0.0556,0.8
dual_featkd,2026,0.4,0.6435,0.3343,0.22,0.1667,0.78
dual_featkd,2026,0.6,0.6267,0.2916,0.22,0.0556,0.78
dual_featkd,2026,0.65,0.6243,0.2974,0.215,0.0,0.785
dual_featkd,2026,0.35,0.6075,0.3072,0.245,0.1111,0.755
dual_featkd,3407,0.55,0.6822,0.3297,0.2,0.0,0.8
dual_featkd,3407,0.6,0.6752,0.3278,0.205,0.0556,0.795
dual_featkd,3407,0.5,0.6739,0.3027,0.21,0.0,0.79
dual_featkd,3407,0.65,0.668,0.3323,0.205,0.0,0.795
dual_featkd,3407,0.45,0.6657,0.324,0.205,0.0556,0.795
dual_featkd,3407,0.4,0.6585,0.3169,0.195,0.0556,0.805
dual_featkd,3407,0.35,0.6516,0.3005,0.22,0.1111,0.78
dual_featkd,8888,0.5,0.6132,0.3367,0.26,0.0556,0.74
dual_featkd,8888,0.6,0.6085,0.3045,0.23,0.0,0.77
dual_featkd,8888,0.55,0.6014,0.3201,0.255,0.0,0.745
dual_featkd,8888,0.65,0.5932,0.2642,0.22,0.0,0.78
dual_featkd,8888,0.4,0.593,0.3097,0.265,0.1111,0.735
dual_featkd,8888,0.45,0.5871,0.3229,0.285,0.1111,0.715
dual_featkd,8888,0.35,0.5611,0.2607,0.28,0.1111,0.72
dual_csd,42,0.6,0.6616,0.3131,0.21,0.0556,0.79
dual_csd,42,0.65,0.6509,0.3162,0.21,0.0556,0.79
dual_csd,42,0.5,0.649,0.3019,0.23,0.1111,0.77
dual_csd,42,0.55,0.647,0.3064,0.215,0.0,0.785
dual_csd,42,0.45,0.6337,0.2931,0.23,0.1111,0.77
dual_csd,42,0.35,0.6167,0.3297,0.255,0.1667,0.745
dual_csd,42,0.4,0.6072,0.3098,0.265,0.2222,0.735
dual_csd,123,0.5,0.6574,0.3401,0.215,0.0556,0.785
dual_csd,123,0.45,0.653,0.3637,0.23,0.1111,0.77
dual_csd,123,0.4,0.6293,0.297,0.25,0.0556,0.75
dual_csd,123,0.6,0.629,0.3241,0.22,0.0,0.78
dual_csd,123,0.55,0.6283,0.3307,0.23,0.0556,0.77
dual_csd,123,0.65,0.6278,0.3291,0.2,0.0,0.8
dual_csd,123,0.35,0.6104,0.2811,0.265,0.1111,0.735
dual_csd,2026,0.4,0.6377,0.3195,0.235,0.0556,0.765
dual_csd,2026,0.5,0.6368,0.3212,0.205,0.0,0.795
dual_csd,2026,0.45,0.6228,0.3183,0.235,0.0556,0.765
dual_csd,2026,0.35,0.6223,0.3041,0.255,0.0556,0.745
dual_csd,2026,0.55,0.6,0.2826,0.23,0.0,0.77
dual_csd,2026,0.6,0.5901,0.2427,0.22,0.0,0.78
dual_csd,2026,0.65,0.5411,0.2738,0.25,0.0556,0.75
dual_csd,3407,0.5,0.6799,0.3572,0.21,0.1667,0.79
dual_csd,3407,0.45,0.6637,0.355,0.23,0.1111,0.77
dual_csd,3407,0.55,0.6635,0.3545,0.22,0.1111,0.78
dual_csd,3407,0.6,0.6416,0.34,0.235,0.0556,0.765
dual_csd,3407,0.65,0.6204,0.3105,0.24,0.0,0.76
dual_csd,3407,0.4,0.6049,0.2881,0.245,0.0556,0.755
dual_csd,3407,0.35,0.5839,0.2525,0.26,0.0556,0.74
dual_csd,8888,0.45,0.6425,0.3495,0.205,0.0556,0.795
dual_csd,8888,0.35,0.6351,0.3118,0.245,0.1111,0.755
dual_csd,8888,0.4,0.6338,0.3141,0.225,0.0,0.775
dual_csd,8888,0.5,0.6217,0.3246,0.21,0.0,0.79
dual_csd,8888,0.55,0.5946,0.2838,0.23,0.0,0.77
dual_csd,8888,0.6,0.588,0.3104,0.235,0.0,0.765
dual_csd,8888,0.65,0.5836,0.2991,0.235,0.0,0.765
