metric,condition,internal,external,delta
QWK,teacher,0.6543846289028177,0.7788048861010235,0.12442025719820582
QWK,best_fp32,0.5545896758970358,0.6441801520764282,0.08959047617939242
QWK,ptq_int8,0.5453376965416993,0.6606805987701203,0.11534290222842103
QWK,ft_ptq_int8,0.5408761403387252,0.7208003722661703,0.1799242319274451
QWK,qat_int8,0.5253161961956762,0.7179381016457924,0.19262190545011626
MacroF1,teacher,0.35792836902915576,0.4021150672967451,0.044186698267589364
MacroF1,best_fp32,0.3465038431640844,0.34982239049465935,0.0033185473305749613
MacroF1,ptq_int8,0.3446035446393882,0.35427519581075273,0.009671651171364537
MacroF1,ft_ptq_int8,0.3430198627974491,0.42038907164172096,0.07736920884427184
MacroF1,qat_int8,0.3390578506265468,0.38914965323634054,0.050091802609793734
Accuracy,teacher,0.5436363636363636,0.565,0.021363636363636362
Accuracy,best_fp32,0.5076363636363637,0.5,-0.007636363636363663
Accuracy,ptq_int8,0.4945454545454545,0.56,0.06545454545454554
Accuracy,ft_ptq_int8,0.496,0.585,0.08899999999999997
Accuracy,qat_int8,0.5058181818181818,0.565,0.05918181818181811
