condition,grade,recall
teacher,0,0.8641509433962264
teacher,1,0.08
teacher,2,0.2465753424657534
teacher,3,0.2463768115942029
teacher,4,0.65
macula_only,0,0.6633962264150943
macula_only,1,0.144
macula_only,2,0.2123287671232877
macula_only,3,0.3159420289855072
macula_only,4,0.35
disc_only,0,0.659622641509434
disc_only,1,0.096
disc_only,2,0.3150684931506849
disc_only,3,0.25797101449275367
disc_only,4,0.31
dual_no_distill,0,0.7366037735849057
dual_no_distill,1,0.08399999999999999
dual_no_distill,2,0.2219178082191781
dual_no_distill,3,0.3942028985507246
dual_no_distill,4,0.32
dual_logitkd,0,0.7916981132075472
dual_logitkd,1,0.06000000000000001
dual_logitkd,2,0.2520547945205479
dual_logitkd,3,0.2898550724637681
dual_logitkd,4,0.48
dual_featkd,0,0.7916981132075471
dual_featkd,1,0.048
dual_featkd,2,0.18904109589041096
dual_featkd,3,0.3913043478260869
dual_featkd,4,0.47000000000000003
dual_csd,0,0.7464150943396226
dual_csd,1,0.14
dual_csd,2,0.20273972602739723
dual_csd,3,0.2927536231884058
dual_csd,4,0.48
