epoch,stage,L_task,L_aux,weighted_aux,train_total_loss,val_QWK,learning_rate
0,warmup,0.6782098346948624,1.208917237520218,0.3626751712560653,1.0408850228786468,0.628677108015951,0.00027192549817311724
1,warmup,0.4458000987768173,1.076088182926178,0.3228264548778534,0.7686265671253204,0.6183206106870229,0.00019842549817311727
2,warmup,0.39855158269405366,1.0275525522232056,0.3082657656669616,0.7068173599243164,0.5741008796347845,0.00010757450182688273
3,warmup,0.37186903804540633,1.014687340259552,0.30440620207786556,0.6762752544879913,0.6399746795379015,3.4074501826882735e-05
4,warmup,0.37115274906158446,1.0160665488243104,0.30481996464729305,0.6759727251529694,0.5943973502498175,5.999999999999999e-06
5,finetune,0.3595834189653397,0.9907145714759826,0.29721437144279483,0.656797800064087,0.618931380526173,9.939672868916176e-06
6,finetune,0.33244508504867554,0.9466214454174042,0.28398643362522125,0.616431525349617,0.6313563916296215,9.760176929846255e-06
7,finetune,0.3196180608868599,0.9321520066261292,0.2796456019878387,0.5992636674642563,0.6327297574308166,9.465931968523005e-06
8,finetune,0.30377026498317716,0.9001710081100464,0.2700513024330139,0.5738215762376785,0.6214214656792307,9.064183272437245e-06
9,finetune,0.2950780200958252,0.8704757416248321,0.26114272248744963,0.5562207531929017,0.6396819261140869,8.564823227814084e-06
10,finetune,0.27686447769403455,0.8457302236557007,0.2537190670967102,0.5305835515260696,0.626487004566725,7.98014773623312e-06
11,finetune,0.2769064596295357,0.8288913381099701,0.24866740143299104,0.5255738687515259,0.6149408710700894,7.324553448723781e-06
12,finetune,0.26530002981424333,0.7968007266521454,0.23904021799564362,0.5043402576446533,0.6240388964269561,6.614183272437245e-06
