condition,seed,quantization,subset,n_patients,metric,point,ci_low,ci_high
teacher,-,FP32,setC,100,QWK,0.7788048861010235,0.7005981308662254,0.8401661047350225
teacher,-,FP32,setC,100,Accuracy,0.565,0.49,0.645
teacher,-,FP32,setC,100,MacroF1,0.4021150672967451,0.3221768736067334,0.478226633707605
teacher,-,FP32,setC,100,MAE,0.595,0.48,0.71
teacher,-,FP32,setC,100,SevereErrorRate,0.125,0.08,0.17
best_fp32,8888,FP32,setC,100,QWK,0.6441801520764282,0.5256844305111469,0.7394894218717811
best_fp32,8888,FP32,setC,100,Accuracy,0.5,0.42,0.58
best_fp32,8888,FP32,setC,100,MacroF1,0.34982239049465935,0.2767824032300663,0.41670340540950185
best_fp32,8888,FP32,setC,100,MAE,0.77,0.63,0.92
best_fp32,8888,FP32,setC,100,SevereErrorRate,0.205,0.15,0.265
best_csd_fp32,8888,FP32,setC,100,QWK,0.7346419483824064,0.6366334819015469,0.8091004680003597
best_csd_fp32,8888,FP32,setC,100,Accuracy,0.53,0.45,0.61
best_csd_fp32,8888,FP32,setC,100,MacroF1,0.3178241322205184,0.2525013413486795,0.3804662744574068
best_csd_fp32,8888,FP32,setC,100,MAE,0.655,0.5298750000000001,0.79
best_csd_fp32,8888,FP32,setC,100,SevereErrorRate,0.155,0.1,0.21
ptq_int8,42,PTQ_INT8,setC,100,QWK,0.6606805987701203,0.5371794463222297,0.7580380649970087
ptq_int8,42,PTQ_INT8,setC,100,Accuracy,0.56,0.49,0.635
ptq_int8,42,PTQ_INT8,setC,100,MacroF1,0.35427519581075273,0.28777688629694287,0.41375751203097205
ptq_int8,42,PTQ_INT8,setC,100,MAE,0.705,0.565,0.855
ptq_int8,42,PTQ_INT8,setC,100,SevereErrorRate,0.2,0.14,0.265
ft_ptq_int8,2026,FT_PTQ_INT8,setC,100,QWK,0.7208003722661703,0.6186409307880566,0.7982094835556729
ft_ptq_int8,2026,FT_PTQ_INT8,setC,100,Accuracy,0.585,0.52,0.65
ft_ptq_int8,2026,FT_PTQ_INT8,setC,100,MacroF1,0.42038907164172096,0.35096324991649464,0.4799229552392681
ft_ptq_int8,2026,FT_PTQ_INT8,setC,100,MAE,0.61,0.495,0.73
ft_ptq_int8,2026,FT_PTQ_INT8,setC,100,SevereErrorRate,0.16,0.11,0.215
qat_int8,2026,QAT_INT8,setC,100,QWK,0.7179381016457924,0.6118024758130073,0.8001447031130513
qat_int8,2026,QAT_INT8,setC,100,Accuracy,0.565,0.49,0.64
qat_int8,2026,QAT_INT8,setC,100,MacroF1,0.38914965323634054,0.3106199887190075,0.4607503245179547
qat_int8,2026,QAT_INT8,setC,100,MAE,0.62,0.5,0.75
qat_int8,2026,QAT_INT8,setC,100,SevereErrorRate,0.14,0.09,0.195
