comparison,metric,observed_diff,ci_low,ci_high,excludes_zero
ptq_int8_vs_best_fp32,QWK,0.016500446693692106,-0.06720799606439086,0.09601930029511577,False
ptq_int8_vs_best_fp32,Accuracy,0.06000000000000005,-0.010000000000000009,0.12999999999999995,False
ptq_int8_vs_best_fp32,MacroF1,0.004452805316093378,-0.08035109497492673,0.08502216346351854,False
ptq_int8_vs_best_fp32,MAE,-0.06500000000000006,-0.19500000000000006,0.06500000000000006,False
ptq_int8_vs_best_fp32,SevereErrorRate,-0.004999999999999977,-0.07,0.06012499999999821,False
qat_int8_vs_best_fp32,QWK,0.07375794956936421,0.006872824777334755,0.14684370696189136,True
qat_int8_vs_best_fp32,Accuracy,0.06499999999999995,0.0,0.13000000000000006,False
qat_int8_vs_best_fp32,MacroF1,0.03932726274168119,-0.04869026976618182,0.12438664929080114,False
qat_int8_vs_best_fp32,MAE,-0.15000000000000002,-0.265,-0.03500000000000003,True
qat_int8_vs_best_fp32,SevereErrorRate,-0.06499999999999997,-0.12000000000000001,-0.010000000000000009,True
ft_ptq_int8_vs_best_fp32,QWK,0.07662022018974213,0.013701175360834731,0.14522788533023767,True
ft_ptq_int8_vs_best_fp32,Accuracy,0.08499999999999996,0.020000000000000018,0.14999999999999997,True
ft_ptq_int8_vs_best_fp32,MacroF1,0.0705666811470616,-0.004186825059327567,0.1426264522474169,False
ft_ptq_int8_vs_best_fp32,MAE,-0.16000000000000003,-0.275,-0.050000000000000044,True
ft_ptq_int8_vs_best_fp32,SevereErrorRate,-0.044999999999999984,-0.1,0.009999999999999981,False
qat_int8_vs_ptq_int8,QWK,0.057257502875672106,-0.006173976680330849,0.12758211073778108,False
qat_int8_vs_ptq_int8,Accuracy,0.004999999999999893,-0.05500000000000005,0.06999999999999995,False
qat_int8_vs_ptq_int8,MacroF1,0.03487445742558781,-0.041259809425432364,0.1130476729950543,False
qat_int8_vs_ptq_int8,MAE,-0.08499999999999996,-0.19,0.015000000000000013,False
qat_int8_vs_ptq_int8,SevereErrorRate,-0.06,-0.11499999999999999,-0.009999999999999981,True
