gamma_feat,run_name,seed,val_QWK,val_MacroF1
0.1,featkd_gamma_feat0.1,42,0.5837251756375504,0.300411286818744
0.1,featkd_gamma_feat0.1,123,0.5066699452880065,0.29573758317095267
0.1,featkd_gamma_feat0.1,2026,0.5538352440609857,0.31040884572464467
0.5,featkd_gamma_feat0.5,42,0.5277467192373331,0.2881424774056353
0.5,featkd_gamma_feat0.5,123,0.5560130277146194,0.3522595704948646
0.5,featkd_gamma_feat0.5,2026,0.5663550302816487,0.2848116298771614
1.0,featkd_gamma_feat1.0,42,0.5788930904090752,0.29091015417331206
1.0,featkd_gamma_feat1.0,123,0.5286411507834575,0.30432631303395924
1.0,featkd_gamma_feat1.0,2026,0.5412490362374711,0.28409282700421945
2.0,featkd_gamma_feat2.0,42,0.5874770820601144,0.32756116939529434
2.0,featkd_gamma_feat2.0,123,0.5595613113989033,0.28931236414780714
2.0,featkd_gamma_feat2.0,2026,0.5665936926809064,0.2683767231232669
