alpha,tau_kd,run_name,seed,val_QWK,val_MacroF1
0.25,2.0,logitkd_alpha0.25_tau_kd2.0,42,0.5695970695970696,0.2961143053712713
0.25,2.0,logitkd_alpha0.25_tau_kd2.0,123,0.5358320319278155,0.3017210148342223
0.25,2.0,logitkd_alpha0.25_tau_kd2.0,2026,0.5868263473053892,0.26246674921756974
0.5,2.0,logitkd_alpha0.5_tau_kd2.0,42,0.5910548339764143,0.30435735654677554
0.5,2.0,logitkd_alpha0.5_tau_kd2.0,123,0.6027109137648983,0.3266720223314994
0.5,2.0,logitkd_alpha0.5_tau_kd2.0,2026,0.6105919003115264,0.34471005230571194
0.5,4.0,logitkd_alpha0.5_tau_kd4.0,42,0.5332010736375306,0.2556575608299746
0.5,4.0,logitkd_alpha0.5_tau_kd4.0,123,0.5292158643657281,0.28580250372933297
0.5,4.0,logitkd_alpha0.5_tau_kd4.0,2026,0.5446945721621782,0.2970400054827672
1.0,2.0,logitkd_alpha1.0_tau_kd2.0,42,0.5792383292383292,0.3185447752635283
1.0,2.0,logitkd_alpha1.0_tau_kd2.0,123,0.5823789038493771,0.2617911500264441
1.0,2.0,logitkd_alpha1.0_tau_kd2.0,2026,0.5554272517321016,0.26487382297551787
