condition,QWK_mean,QWK_std,Accuracy_mean,Accuracy_std,BalancedAccuracy_mean,BalancedAccuracy_std,MacroPrecision_mean,MacroPrecision_std,MacroRecall_mean,MacroRecall_std,MacroF1_mean,MacroF1_std,WeightedPrecision_mean,WeightedPrecision_std,WeightedRecall_mean,WeightedRecall_std,WeightedF1_mean,WeightedF1_std,MAE_mean,MAE_std,SevereErrorRate_mean,SevereErrorRate_std,OrdinalThreshold_ECE_mean,OrdinalThreshold_ECE_std,OrdinalThreshold_Brier_mean,OrdinalThreshold_Brier_std
teacher,0.6544,,0.5436,,0.4174,,0.3737,,0.4174,,0.3579,,0.5191,,0.5436,,0.5095,,0.7091,,0.2218,,0.0466,,0.124,
macula_only,0.4347,0.0148,0.4415,0.0043,0.3371,0.0176,0.3154,0.0131,0.3371,0.0176,0.3208,0.0141,0.4304,0.0153,0.4415,0.0043,0.4325,0.0088,0.9367,0.0192,0.308,0.0049,0.0608,0.0123,0.156,0.0053
disc_only,0.4645,0.0133,0.4538,0.0408,0.3277,0.0267,0.34,0.0297,0.3277,0.0267,0.3216,0.0231,0.4621,0.0215,0.4538,0.0408,0.4497,0.0257,0.8764,0.0546,0.2782,0.0164,0.0674,0.041,0.1487,0.0084
dual_no_distill,0.5124,0.0227,0.4825,0.0226,0.3513,0.0178,0.3763,0.0772,0.3513,0.0178,0.3384,0.015,0.4612,0.0208,0.4825,0.0226,0.4619,0.0119,0.8342,0.0277,0.2745,0.0108,0.0523,0.0191,0.139,0.0038
dual_logitkd,0.5546,0.0285,0.5076,0.0159,0.3747,0.0207,0.3473,0.0221,0.3747,0.0207,0.3465,0.0187,0.4745,0.0214,0.5076,0.0159,0.4808,0.0176,0.7953,0.0273,0.2596,0.0136,0.0433,0.0059,0.1361,0.005
dual_featkd,0.5484,0.0177,0.5022,0.0234,0.378,0.0125,0.3463,0.0263,0.378,0.0125,0.3493,0.0143,0.4604,0.0102,0.5022,0.0234,0.4693,0.0093,0.8076,0.024,0.2669,0.0094,0.0515,0.0063,0.1361,0.0031
dual_csd,0.5296,0.0281,0.4804,0.0341,0.3724,0.0123,0.3426,0.0306,0.3724,0.0123,0.3406,0.0208,0.4631,0.0181,0.4804,0.0341,0.46,0.0174,0.8425,0.056,0.2702,0.021,0.0584,0.0323,0.1399,0.0091
abl_csd_raw_smoothl1,0.5224,0.0529,0.4624,0.051,0.3591,0.0094,0.3257,0.0507,0.3591,0.0094,0.3192,0.0264,0.4566,0.0299,0.4624,0.051,0.4462,0.028,0.8776,0.1112,0.2782,0.0362,0.0722,0.0385,0.1447,0.0158
abl_csd_kl_softmax,0.5366,0.02,0.497,0.0232,0.3702,0.0204,0.3494,0.0276,0.3702,0.0204,0.3472,0.0173,0.4645,0.0219,0.497,0.0232,0.4697,0.0123,0.8139,0.0318,0.2624,0.0212,0.0589,0.0218,0.1381,0.0064
abl_csd_counterfactual,0.546,0.0258,0.5079,0.001,0.3872,0.0078,0.3579,0.0049,0.3872,0.0078,0.3573,0.0066,0.4769,0.0142,0.5079,0.001,0.4789,0.0089,0.8012,0.0234,0.2582,0.0083,0.0419,0.0178,0.1351,0.0043
best_fp32,0.5546,0.0285,0.5076,0.0159,0.3747,0.0207,0.3473,0.0221,0.3747,0.0207,0.3465,0.0187,0.4745,0.0214,0.5076,0.0159,0.4808,0.0176,0.7953,0.0273,0.2596,0.0136,0.0433,0.0059,0.1361,0.005
fp32_ft_control,0.5521,0.022,0.5102,0.0233,0.3771,0.0198,0.3537,0.0272,0.3771,0.0198,0.3498,0.0186,0.4743,0.0204,0.5102,0.0233,0.4798,0.0178,0.7942,0.0324,0.26,0.0132,0.0428,0.0094,0.1361,0.0057
fp32_ft_plain,0.55,0.0266,0.5109,0.0242,0.3793,0.0221,0.3573,0.0334,0.3793,0.0221,0.3523,0.0223,0.4768,0.025,0.5109,0.0242,0.4802,0.0197,0.7927,0.0379,0.2567,0.014,0.0435,0.0107,0.1359,0.0059
ptq_int8,0.5453,0.0299,0.4945,0.022,0.372,0.0251,0.3417,0.0297,0.372,0.0251,0.3446,0.0274,0.4738,0.0214,0.4945,0.022,0.4768,0.0197,0.8109,0.0352,0.2578,0.0132,0.0487,0.0119,0.139,0.0051
ft_ptq_int8,0.5409,0.0204,0.496,0.0256,0.366,0.0233,0.3412,0.0295,0.366,0.0233,0.343,0.0228,0.4677,0.0202,0.496,0.0256,0.4742,0.0193,0.8109,0.0335,0.2615,0.0109,0.0473,0.0137,0.1383,0.0052
qat_int8,0.5253,0.0324,0.5058,0.0182,0.3585,0.0079,0.3459,0.0198,0.3585,0.0079,0.3391,0.009,0.4636,0.0094,0.5058,0.0182,0.4711,0.0083,0.8116,0.0144,0.2676,0.0125,0.0451,0.0064,0.1375,0.0035
