RQ,role,comparison,metric,cluster_level,observed_diff,bootstrap_mean,ci_low,ci_high,excludes_zero,n_seed_pairs,p_perm,n_permutations,p_holm,significant_holm
RQ1,primary,dual_csd_vs_dual_no_distill,QWK,record_eye(DRTiD),0.017132154874787076,0.017088802959169355,-0.02755869220560751,0.06482451551344065,False,5,0.11198880111988802,10000.0,0.254974502549745,False
RQ1,primary,dual_csd_vs_dual_no_distill,Accuracy,record_eye(DRTiD),-0.002181818181818185,-0.0020985818181818187,-0.04400000000000002,0.0370999999999999,False,5,,,,
RQ1,primary,dual_csd_vs_dual_no_distill,MacroF1,record_eye(DRTiD),0.002231030492726838,0.002146773701877936,-0.03923065901099029,0.03982380548615929,False,5,,,,
RQ1,primary,dual_csd_vs_dual_no_distill,MAE,record_eye(DRTiD),0.008363636363636328,0.008342581818181819,-0.0570909090909091,0.07454545454545458,False,5,,,,
RQ1,primary,dual_csd_vs_dual_no_distill,SevereErrorRate,record_eye(DRTiD),-0.004363636363636375,-0.0042657090909090905,-0.029454545454545438,0.019645454545454428,False,5,,,,
RQ1,primary,dual_csd_vs_dual_logitkd,QWK,record_eye(DRTiD),-0.02502024577190103,-0.02516643260597358,-0.07807720226793988,0.02542837088155957,False,5,0.08499150084991501,10000.0,0.254974502549745,False
RQ1,primary,dual_csd_vs_dual_logitkd,Accuracy,record_eye(DRTiD),-0.027272727272727282,-0.02735796363636363,-0.06290909090909089,0.008363636363636328,False,5,,,,
RQ1,primary,dual_csd_vs_dual_logitkd,MacroF1,record_eye(DRTiD),-0.005861467809866627,-0.005948641943086951,-0.04190623053341346,0.03179575173359611,False,5,,,,
RQ1,primary,dual_csd_vs_dual_logitkd,MAE,record_eye(DRTiD),0.047272727272727244,0.04746734545454546,-0.018909090909090875,0.11637272727272718,False,5,,,,
RQ1,primary,dual_csd_vs_dual_logitkd,SevereErrorRate,record_eye(DRTiD),0.010545454545454547,0.010684872727272728,-0.02145454545454544,0.04436363636363635,False,5,,,,
RQ1,primary,dual_csd_vs_dual_featkd,QWK,record_eye(DRTiD),-0.018862997796092573,-0.0188772046663187,-0.06388650993357647,0.0263068726864394,False,5,0.09259074092590741,10000.0,0.254974502549745,False
RQ1,primary,dual_csd_vs_dual_featkd,Accuracy,record_eye(DRTiD),-0.021818181818181827,-0.021584,-0.05672727272727272,0.011999999999999988,False,5,,,,
RQ1,primary,dual_csd_vs_dual_featkd,MacroF1,record_eye(DRTiD),-0.00862524669927891,-0.008222743350424128,-0.040816736202235505,0.024565760583850807,False,5,,,,
RQ1,primary,dual_csd_vs_dual_featkd,MAE,record_eye(DRTiD),0.03490909090909089,0.034737527272727275,-0.023272727272727244,0.09490909090909087,False,5,,,,
RQ1,primary,dual_csd_vs_dual_featkd,SevereErrorRate,record_eye(DRTiD),0.003272727272727277,0.0033876363636363635,-0.024727272727272737,0.03309090909090906,False,5,,,,
RQ2,primary,ptq_int8_vs_best_fp32,QWK,record_eye(DRTiD),-0.009251979355336504,-0.009347075794224344,-0.030039632478080534,0.01069545000685684,False,5,0.20887911208879112,10000.0,0.20887911208879112,False
