metric,condition,value
QWK,teacher,0.7788048861010235
QWK,best_fp32,0.6441801520764282
QWK,ptq_int8,0.6606805987701203
QWK,ft_ptq_int8,0.7208003722661703
QWK,qat_int8,0.7179381016457924
QWK,best_csd_fp32,0.7346419483824064
MacroF1,teacher,0.4021150672967451
MacroF1,best_fp32,0.34982239049465935
MacroF1,ptq_int8,0.35427519581075273
MacroF1,ft_ptq_int8,0.42038907164172096
MacroF1,qat_int8,0.38914965323634054
MacroF1,best_csd_fp32,0.3178241322205184
Accuracy,teacher,0.565
Accuracy,best_fp32,0.5
Accuracy,ptq_int8,0.56
Accuracy,ft_ptq_int8,0.585
Accuracy,qat_int8,0.565
Accuracy,best_csd_fp32,0.53
SevereErrorRate,teacher,0.125
SevereErrorRate,best_fp32,0.205
SevereErrorRate,ptq_int8,0.2
SevereErrorRate,ft_ptq_int8,0.16
SevereErrorRate,qat_int8,0.14
SevereErrorRate,best_csd_fp32,0.155
