condition,seed,quantization,view_mode,QWK,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,WeightedPrecision,WeightedRecall,WeightedF1,MAE,SevereErrorRate,Precision_Grade0,Recall_Grade0,F1_Grade0,Support_Grade0,Specificity_Grade0,Precision_Grade1,Recall_Grade1,F1_Grade1,Support_Grade1,Specificity_Grade1,Precision_Grade2,Recall_Grade2,F1_Grade2,Support_Grade2,Specificity_Grade2,Precision_Grade3,Recall_Grade3,F1_Grade3,Support_Grade3,Specificity_Grade3,Precision_Grade4,Recall_Grade4,F1_Grade4,Support_Grade4,Specificity_Grade4,OrdinalViolationRate,OrdinalThreshold_Brier,OrdinalThreshold_ECE,Threshold0_MAEProb,Threshold1_MAEProb,Threshold2_MAEProb,Threshold3_MAEProb,QWK_dual,QWK_aux_macula,QWK_aux_disc,DualViewGain_G_aux,ParamCount,CheckpointSize_MB,Latency_median_ms,Latency_mean_ms,Latency_sd_ms,Latency_p95_ms,Latency_p99_ms,Latency_block_IQR_ms,Throughput_pairs_per_s,Throughput_images_per_s,bench_runs,bench_repeats,ShiftL1,ShiftMAE,CosAgree,BenefitCorr,BenefitCorrSpearman,CF_ShiftL1,CF_ShiftMAE,CF_CosAgree,CF_BenefitCorr,CF_BenefitCorrSpearman,ModelLoadRSSDelta_MB,InferenceRSSDelta_MB,PeakRSS_during_inference_MB,RSS_scope,DualViewGain_G_independent
teacher,-,FP32,dual,0.6543846289028177,0.5436363636363636,0.41742061949123654,0.3736894655400898,0.41742061949123654,0.35792836902915576,0.5190984593924589,0.5436363636363636,0.5095036918800588,0.7090909090909091,0.22181818181818183,0.6795252225519288,0.8641509433962264,0.760797342192691,265,0.6210526315789474,0.18181818181818182,0.08,0.1111111111111111,50,0.964,0.48,0.2465753424657534,0.3257918552036199,146,0.9034653465346535,0.32075471698113206,0.2463768115942029,0.2786885245901639,69,0.9251559251559252,0.20634920634920634,0.65,0.3132530120481928,20,0.9056603773584906,0.0,0.12396951764822006,0.04659160402624614,0.3433038592338562,0.31788772344589233,0.17871500551700592,0.13063034415245056,0.6543846289028177,0.537515015746242,0.5276207259465943,0.11686961315657562,40313932,154.0890407562256,268.82817200021236,269.04550867519134,2.89711792541169,274.34645764960806,278.2485276393709,0.752432000808767,3.719848230784421,7.439696461568842,500,5,,,,,,,,,,,,,,,0.1732822216754175
macula_only,42,FP32,macula_only,0.43990172521072457,0.4381818181818182,0.36637472889298434,0.33310446406181055,0.36637472889298434,0.3426837901419678,0.4532600351427309,0.4381818181818182,0.4431320447680246,0.9381818181818182,0.3018181818181818,0.6274509803921569,0.6037735849056604,0.6153846153846154,265,0.6666666666666666,0.15492957746478872,0.22,0.18181818181818182,50,0.88,0.3275862068965517,0.2602739726027397,0.2900763358778626,146,0.806930693069307,0.3333333333333333,0.34782608695652173,0.3404255319148936,69,0.9002079002079002,0.2222222222222222,0.4,0.2857142857142857,20,0.9471698113207547,0.0,0.16077327728271484,0.07798475044017487,0.41950443387031555,0.4144470691680908,0.2565709948539734,0.13004229962825775,,,,,328588,1.2940635681152344,15.26974400076142,15.288605436800571,0.5235565908841521,16.218777999984013,17.148577910538723,0.11467149943200639,65.48898265420398,130.97796530840796,500,5,,,,,,,,,,,,,,,
macula_only,123,FP32,macula_only,0.4460623144077924,0.44,0.32543559546150935,0.3247550021325328,0.32543559546150935,0.3249331204803758,0.4387523213456804,0.44,0.4392175202385089,0.9145454545454546,0.3054545454545455,0.6236162361623616,0.6377358490566037,0.6305970149253731,265,0.6421052631578947,0.05454545454545454,0.06,0.05714285714285714,50,0.896,0.2867647058823529,0.2671232876712329,0.2765957446808511,146,0.7599009900990099,0.373134328358209,0.36231884057971014,0.36764705882352944,69,0.9126819126819127,0.2857142857142857,0.3,0.2926829268292683,20,0.9716981132075472,0.0,0.1480412781238556,0.06304606824774633,0.415537565946579,0.40873444080352783,0.2562711834907532,0.1136637032032013,,,,,328588,1.2941579818725586,15.319805500439543,15.371924163984659,0.44168252769073196,16.127082949788015,16.82708403970537,0.07322749934246531,65.27498015371728,130.54996030743456,500,5,,,,,,,,,,,,,,,
macula_only,2026,FP32,macula_only,0.4201626724935067,0.44,0.34093611426388126,0.30887611477775406,0.34093611426388126,0.3168897454772371,0.41725480910875845,0.44,0.42246887614577716,0.9563636363636364,0.3109090909090909,0.5934426229508196,0.6830188679245283,0.6350877192982456,265,0.5649122807017544,0.16363636363636364,0.18,0.17142857142857143,50,0.908,0.25,0.14383561643835616,0.1826086956521739,146,0.844059405940594,0.34285714285714286,0.34782608695652173,0.34532374100719426,69,0.9043659043659044,0.19444444444444445,0.35,0.25,20,0.9452830188679245,0.0,0.15922802686691284,0.06151442571458491,0.40472230315208435,0.3882625699043274,0.22954992949962616,0.12335401773452759,,,,,328588,1.2942523956298828,15.187255500677566,15.220740851619485,0.447374888097346,16.010456450021593,16.648223580050395,0.10255600136588328,65.84468141432045,131.6893628286409,500,5,,,,,,,,,,,,,,,
macula_only,3407,FP32,macula_only,0.41760994305607657,0.44,0.32484618352493433,0.30128166003243406,0.32484618352493433,0.3052839010734442,0.4199999162344364,0.44,0.4253023093561734,0.9545454545454546,0.3145454545454546,0.6019736842105263,0.690566037735849,0.6432337434094904,265,0.5754385964912281,0.16,0.16,0.16,50,0.916,0.27450980392156865,0.1917808219178082,0.22580645161290322,146,0.8168316831683168,0.2857142857142857,0.2318840579710145,0.256,69,0.9168399168399168,0.18421052631578946,0.35,0.2413793103448276,20,0.9415094339622642,0.0,0.15884771943092346,0.057694490086287256,0.4185139238834381,0.4058159291744232,0.23526924848556519,0.1202036663889885,,,,,328588,1.2942523956298828,15.263491499354132,15.258267259995046,0.430545253260765,15.9739887507385,16.66214521012079,0.043279498640913516,65.51580940981391,131.03161881962782,500,5,,,,,,,,,,,,,,,
macula_only,8888,FP32,macula_only,0.4495540832067998,0.4490909090909091,0.3280744003805799,0.3087478905935463,0.3280744003805799,0.31413311041174397,0.4226295956247386,0.4490909090909091,0.4323567273046607,0.92,0.30727272727272725,0.6078431372549019,0.7018867924528301,0.6514886164623468,265,0.5789473684210527,0.11904761904761904,0.1,0.10869565217391304,50,0.926,0.26605504587155965,0.19863013698630136,0.22745098039215686,146,0.801980198019802,0.31746031746031744,0.2898550724637681,0.30303030303030304,69,0.9106029106029107,0.23333333333333334,0.35,0.28,20,0.9566037735849057,0.0,0.15295736491680145,0.043678766915744,0.40447723865509033,0.38371363282203674,0.23443828523159027,0.11428157985210419,,,,,328588,1.2942523956298828,15.262609999808774,15.330902039595822,0.49352735402660186,16.120347900050547,16.823470970120976,0.12283950036362512,65.51959330760133,131.03918661520265,500,5,,,,,,,,,,,,,,,
disc_only,42,FP32,disc_only,0.4506135698394719,0.4818181818181818,0.3218968538475657,0.3219289687442218,0.3218968538475657,0.3151698244399997,0.4360422605950471,0.4818181818181818,0.45098349079179556,0.86,0.27636363636363637,0.6179104477611941,0.7811320754716982,0.69,265,0.5508771929824562,0.10526315789473684,0.08,0.09090909090909091,50,0.932,0.31896551724137934,0.2534246575342466,0.2824427480916031,146,0.8044554455445545,0.2631578947368421,0.14492753623188406,0.18691588785046728,69,0.9417879417879418,0.30434782608695654,0.35,0.32558139534883723,20,0.969811320754717,0.0,0.15216226875782013,0.05659300625324249,0.4011455774307251,0.37184634804725647,0.2126610428094864,0.09076989442110062,,,,,328588,1.293813705444336,15.33687099981762,15.431200177596475,0.4904232765657756,16.32622414836078,16.889835089987173,0.03365499924257165,65.20234798948832,130.40469597897663,500,5,,,,,,,,,,,,,,,
disc_only,123,FP32,disc_only,0.48110240722740016,0.4709090909090909,0.35336839463442227,0.353219499698423,0.35336839463442227,0.35259842986718215,0.48719667524435706,0.4709090909090909,0.478323436658559,0.8563636363636363,0.2727272727272727,0.6910569105691057,0.6415094339622641,0.6653620352250489,265,0.7333333333333333,0.08620689655172414,0.1,0.09259259259259259,50,0.894,0.36054421768707484,0.363013698630137,0.36177474402730375,146,0.7673267326732673,0.3125,0.36231884057971014,0.33557046979865773,69,0.8856548856548857,0.3157894736842105,0.3,0.3076923076923077,20,0.9754716981132076,0.0,0.1486283391714096,0.07656000149520961,0.4055475890636444,0.4038112759590149,0.2667250633239746,0.1212107315659523,,,,,328588,1.2939691543579102,15.805366000677168,15.84161918679747,0.4847424455792359,16.6413678992285,16.990746079591187,0.05494299966812832,63.26965158270652,126.53930316541305,500,5,,,,,,,,,,,,,,,
disc_only,2026,FP32,disc_only,0.45188448625887734,0.4636363636363636,0.2848509632493136,0.3824213050683897,0.2848509632493136,0.29819754002352356,0.4763026424600764,0.4636363636363636,0.4564801743129889,0.8218181818181818,0.2545454545454545,0.6430976430976431,0.720754716981132,0.6797153024911032,265,0.6280701754385964,0.08433734939759036,0.14,0.10526315789473684,50,0.848,0.2846715328467153,0.2671232876712329,0.2756183745583039,146,0.7574257425742574,0.5666666666666667,0.2463768115942029,0.3434343434343434,69,0.972972972972973,0.3333333333333333,0.05,0.08695652173913043,20,0.9962264150943396,0.0,0.13655655086040497,0.032679196922955185,0.4315314292907715,0.4176323413848877,0.24101939797401428,0.08235412836074829,,,,,328588,1.2940635681152344,15.788822999638796,15.797722571180202,0.5298879597307564,16.610490750645113,17.21116368988077,0.042767000195453875,63.335943409010106,126.67188681802021,500,5,,,,,,,,,,,,,,,
disc_only,3407,FP32,disc_only,0.46551389036921864,0.4709090909090909,0.3449540869265548,0.33742122669536656,0.3449540869265548,0.33801372546622427,0.4441858520631601,0.4709090909090909,0.4547063720029876,0.8763636363636363,0.29454545454545455,0.6013071895424836,0.6943396226415094,0.6444833625218914,265,0.5719298245614035,0.058823529411764705,0.04,0.047619047619047616,50,0.936,0.3484848484848485,0.3150684931506849,0.33093525179856115,146,0.7871287128712872,0.3584905660377358,0.2753623188405797,0.3114754098360656,69,0.9293139293139293,0.32,0.4,0.35555555555555557,20,0.9679245283018868,0.0,0.14683367311954498,0.03750935181806033,0.4048106074333191,0.3753678500652313,0.22516019642353058,0.1056402400135994,,,,,328588,1.2940635681152344,15.940347499963536,15.975456453613152,0.5817011268529534,16.928577699673042,17.734142099088785,0.05272000089462381,62.73388958442013,125.46777916884027,500,5,,,,,,,,,,,,,,,
