,ShiftL1,ShiftL1,ShiftMAE,ShiftMAE,CosAgree,CosAgree,BenefitCorr,BenefitCorr,BenefitCorrSpearman,BenefitCorrSpearman,CF_ShiftL1,CF_ShiftL1,CF_CosAgree,CF_CosAgree,DualViewGain_G_aux,DualViewGain_G_aux,DualViewGain_G_independent,DualViewGain_G_independent
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
condition,,,,,,,,,,,,,,,,,,
abl_csd_counterfactual,0.4595,0.0227,0.1149,0.0057,0.3132,0.0676,0.1906,0.0808,0.3069,0.0696,0.2721,0.0128,0.4871,0.0268,0.0566,0.0297,0.0848,0.0101
abl_csd_kl_softmax,0.4709,0.0116,0.1177,0.0029,0.2901,0.0321,0.1361,0.1518,0.2828,0.1075,0.4746,0.1419,0.2164,0.2286,0.0426,0.0183,0.0754,0.0325
abl_csd_raw_smoothl1,0.4632,0.0129,0.1158,0.0032,0.3059,0.0778,0.1579,0.0599,0.2966,0.0992,0.3816,0.0378,0.1997,0.143,0.025,0.0411,0.0612,0.0508
best_fp32,0.4524,0.0108,0.1131,0.0027,0.3468,0.0593,0.2161,0.0429,0.3545,0.0686,0.5518,0.0574,-0.0425,0.0656,0.049,0.0109,0.09,0.0397
dual_csd,0.432,0.02,0.108,0.005,0.4257,0.0495,0.2902,0.0811,0.477,0.0764,0.4192,0.0511,0.0703,0.1938,0.0353,0.0236,0.065,0.0238
dual_featkd,0.4489,0.0158,0.1122,0.0039,0.3721,0.0411,0.233,0.0632,0.3834,0.0737,0.6646,0.1089,-0.0927,0.0142,0.0278,0.0139,0.0839,0.0247
dual_logitkd,0.4524,0.0108,0.1131,0.0027,0.3468,0.0593,0.2161,0.0429,0.3545,0.0686,0.5518,0.0574,-0.0425,0.0656,0.049,0.0109,0.09,0.0397
dual_no_distill,0.4605,0.0179,0.1151,0.0045,0.318,0.0674,0.185,0.0913,0.3025,0.1127,0.5482,0.193,0.1398,0.2157,0.0233,0.019,0.0479,0.0345
fp32_ft_control,,,,,,,,,,,,,,,0.0443,0.0148,0.0876,0.033
fp32_ft_plain,,,,,,,,,,,,,,,0.0381,0.0046,0.0855,0.0374
ft_ptq_int8,,,,,,,,,,,,,,,0.0575,0.0138,0.0763,0.0302
ptq_int8,,,,,,,,,,,,,,,0.061,0.013,0.0808,0.0418
qat_int8,,,,,,,,,,,,,,,0.047,0.0214,0.0608,0.0423
teacher,,,,,,,,,,,,,,,0.1169,,0.1733,
