condition,ParamCount,CheckpointSize_MB,Latency_median_ms,Latency_mean_ms,Latency_sd_ms,Latency_p95_ms,Latency_p99_ms,Latency_block_IQR_ms,Throughput_pairs_per_s,Throughput_images_per_s,PeakRSS_during_inference_MB,Speedup_vs_teacher,CompressionRatio_vs_teacher,SizeReduction_vs_teacher_pct
teacher,40313932.0,154.089,268.8282,269.0455,2.8971,274.3465,278.2485,0.7524,3.7198,7.4397,,1.0,1.0,0.0
macula_only,328588.0,1.2942,15.2606,15.2941,0.4673,16.0901,16.8219,0.0913,65.5288,131.0576,,17.62,119.06,99.16
disc_only,328588.0,1.294,15.6877,15.7439,0.5162,16.6046,17.1688,0.0974,63.7561,127.5123,,17.14,119.08,99.16
dual_no_distill,328588.0,1.2946,15.2,15.2673,0.5083,16.199,16.9002,0.0863,65.7904,131.5807,,17.69,119.02,99.16
dual_logitkd,328588.0,1.2943,15.0734,15.1261,0.4625,15.9416,16.6018,0.1224,66.3429,132.6858,,17.83,119.05,99.16
dual_featkd,328588.0,1.2942,15.0724,15.1206,0.4243,15.8373,16.4504,0.0844,66.3467,132.6933,,17.84,119.06,99.16
dual_csd,328588.0,1.2939,15.0984,15.1582,0.4588,15.9574,16.6837,0.1209,66.2336,132.4672,,17.81,119.09,99.16
abl_csd_raw_smoothl1,328588.0,1.295,14.9739,15.0533,0.5961,16.0031,16.9505,0.1039,66.7839,133.5678,,17.95,118.99,99.16
abl_csd_kl_softmax,328588.0,1.2948,14.9212,14.9485,0.4649,15.7565,16.4145,0.1924,67.0201,134.0401,,18.02,119.01,99.16
abl_csd_counterfactual,328588.0,1.2952,14.9701,15.0444,0.5225,15.9877,16.8537,0.1154,66.8005,133.601,,17.96,118.97,99.16
best_fp32,328588.0,1.2935,14.9704,15.0396,0.4777,15.8887,16.5442,0.1022,66.801,133.602,3359.6172,17.96,119.13,99.16
fp32_ft_control,328588.0,1.3806,28.4296,28.5474,0.72,29.7815,30.7629,0.2128,35.1754,70.3507,,9.46,111.61,99.1
fp32_ft_plain,328588.0,1.2931,15.057,15.071,0.4622,15.842,16.5624,0.083,66.4174,132.8349,,17.85,119.16,99.16
ptq_int8,328588.0,0.9507,6.072,6.1075,0.1485,6.3192,6.809,0.0299,164.6963,329.3926,3359.7852,44.27,162.08,99.38
ft_ptq_int8,328588.0,0.9509,6.059,6.0756,0.1178,6.2179,6.6799,0.0335,165.0496,330.0993,,44.37,162.05,99.38
qat_int8,328588.0,0.9507,6.0737,6.102,0.1464,6.2666,6.7688,0.0209,164.6472,329.2943,3359.8047,44.26,162.08,99.38
