condition,seed,quantization,subset,field_order,role,eyes,patients,QWK,Accuracy,BalancedAccuracy,MacroPrecision,MacroRecall,MacroF1,WeightedPrecision,WeightedRecall,WeightedF1,MAE,SevereErrorRate,Precision_Grade0,Recall_Grade0,F1_Grade0,Support_Grade0,Specificity_Grade0,Precision_Grade1,Recall_Grade1,F1_Grade1,Support_Grade1,Specificity_Grade1,Precision_Grade2,Recall_Grade2,F1_Grade2,Support_Grade2,Specificity_Grade2,Precision_Grade3,Recall_Grade3,F1_Grade3,Support_Grade3,Specificity_Grade3,Precision_Grade4,Recall_Grade4,F1_Grade4,Support_Grade4,Specificity_Grade4,OrdinalViolationRate,OrdinalThreshold_Brier,OrdinalThreshold_ECE,Threshold0_MAEProb,Threshold1_MAEProb,Threshold2_MAEProb,Threshold3_MAEProb
teacher,-,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.7788048861010235,0.565,0.4724444444444445,0.41845784578457845,0.4724444444444445,0.4021150672967451,0.5867506750675067,0.565,0.5604935198615075,0.595,0.125,0.8316831683168316,0.84,0.835820895522388,100,0.83,0.3333333333333333,0.2777777777777778,0.30303030303030304,18,0.945054945054945,0.45454545454545453,0.2777777777777778,0.3448275862068966,36,0.926829268292683,0.2727272727272727,0.16666666666666666,0.20689655172413793,36,0.9024390243902439,0.2,0.8,0.32,10,0.8315789473684211,0.0,0.10471156984567642,0.09382092817744704,0.2552616596221924,0.2292337417602539,0.18472884595394135,0.18488524854183197
best_fp32,8888,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6441801520764282,0.5,0.38133333333333336,0.34581896551724134,0.38133333333333336,0.34982239049465935,0.516903735632184,0.5,0.5043299473635607,0.77,0.205,0.7708333333333334,0.74,0.7551020408163265,100,0.78,0.16666666666666666,0.16666666666666666,0.16666666666666666,18,0.9175824175824175,0.3103448275862069,0.25,0.27692307692307694,36,0.8780487804878049,0.28125,0.25,0.2647058823529412,36,0.8597560975609756,0.2,0.5,0.2857142857142857,10,0.8947368421052632,0.0,0.13325685262680054,0.06896997276227922,0.30712834000587463,0.2832930088043213,0.2299465537071228,0.16702209413051605
best_csd_fp32,8888,FP32,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.7346419483824064,0.53,0.38422222222222224,0.3548536209553158,0.38422222222222224,0.3178241322205184,0.5250128402670776,0.53,0.49619320182330123,0.655,0.155,0.7288135593220338,0.86,0.7889908256880734,100,0.68,0.0,0.0,0.0,18,0.8846153846153846,0.5,0.3055555555555556,0.3793103448275862,36,0.9329268292682927,0.3333333333333333,0.05555555555555555,0.09523809523809523,36,0.975609756097561,0.21212121212121213,0.7,0.32558139534883723,10,0.8631578947368421,0.0,0.11303717643022537,0.053148377886973325,0.33289992809295654,0.2969832122325897,0.17668426036834717,0.15064458549022675
ptq_int8,42,PTQ_INT8,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.6606805987701203,0.56,0.40311111111111114,0.3758889113219822,0.40311111111111114,0.35427519581075273,0.5261040446867219,0.56,0.5191524744199382,0.705,0.2,0.6771653543307087,0.86,0.7577092511013216,100,0.59,0.0,0.0,0.0,18,0.967032967032967,0.5185185185185185,0.3888888888888889,0.4444444444444444,36,0.9207317073170732,0.46153846153846156,0.16666666666666666,0.24489795918367346,36,0.9573170731707317,0.2222222222222222,0.6,0.32432432432432434,10,0.8894736842105263,0.0,0.12189390510320663,0.04773030418902635,0.33944883942604065,0.2949961721897125,0.18915845453739166,0.14165732264518738
ft_ptq_int8,2026,FT_PTQ_INT8,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.7208003722661703,0.585,0.45466666666666666,0.44580325667282195,0.45466666666666666,0.42038907164172096,0.5880241732415645,0.585,0.5677873428651989,0.61,0.16,0.75,0.84,0.7924528301886793,100,0.72,0.21428571428571427,0.16666666666666666,0.1875,18,0.9395604395604396,0.43243243243243246,0.4444444444444444,0.4383561643835616,36,0.8719512195121951,0.5714285714285714,0.2222222222222222,0.32,36,0.9634146341463414,0.2608695652173913,0.6,0.36363636363636365,10,0.9105263157894737,0.0,0.1083417534828186,0.05054380785441026,0.33088988065719604,0.2906791567802429,0.19633464515209198,0.1339295357465744
qat_int8,2026,QAT_INT8,setC,_1=macula,PRIMARY_CONFIRMATORY,200,100,0.7179381016457924,0.565,0.418,0.40260670123653775,0.418,0.38914965323634054,0.5671906661348225,0.565,0.5538551025857528,0.62,0.14,0.7706422018348624,0.84,0.8038277511961722,100,0.75,0.15,0.16666666666666666,0.15789473684210525,18,0.9065934065934066,0.4375,0.3888888888888889,0.4117647058823529,36,0.8902439024390244,0.4375,0.19444444444444445,0.2692307692307692,36,0.9451219512195121,0.21739130434782608,0.5,0.30303030303030304,10,0.9052631578947369,0.0,0.11160220950841904,0.039890860754530875,0.3311706781387329,0.29807570576667786,0.1997804045677185,0.13826565444469452
teacher,-,FP32,setC,_1=disc,supplementary,200,100,0.765528225092904,0.55,0.414,0.37073623355976293,0.414,0.3516067887194514,0.5457952883364647,0.55,0.530451769631596,0.62,0.13,0.7909090909090909,0.87,0.8285714285714286,100,0.77,0.18181818181818182,0.1111111111111111,0.13793103448275862,18,0.9505494505494505,0.4117647058823529,0.19444444444444445,0.2641509433962264,36,0.9390243902439024,0.28,0.19444444444444445,0.22950819672131148,36,0.8902439024390244,0.1891891891891892,0.7,0.2978723404255319,10,0.8421052631578947,0.0,0.10888747870922089,0.0771806444856338,0.2595161497592926,0.2263009399175644,0.17098674178123474,0.18290464580059052
best_fp32,8888,FP32,setC,_1=disc,supplementary,200,100,0.6409028727770179,0.49,0.33755555555555555,0.3114050776809397,0.33755555555555555,0.31252235509588455,0.4868821523304281,0.49,0.48436220642103,0.78,0.205,0.7307692307692307,0.76,0.7450980392156863,100,0.72,0.07142857142857142,0.05555555555555555,0.0625,18,0.9285714285714286,0.3448275862068966,0.2777777777777778,0.3076923076923077,36,0.8841463414634146,0.25,0.19444444444444445,0.21875,36,0.8719512195121951,0.16,0.4,0.22857142857142856,10,0.8894736842105263,0.0,0.13162006437778473,0.06426406372338533,0.3108139932155609,0.28666049242019653,0.221002459526062,0.1612955927848816
best_csd_fp32,8888,FP32,setC,_1=disc,supplementary,200,100,0.7321428571428572,0.545,0.39555555555555555,0.37609420779806174,0.39555555555555555,0.35417657497696076,0.5387845391029975,0.545,0.5233057500260971,0.64,0.155,0.7327586206896551,0.85,0.7870370370370371,100,0.69,0.058823529411764705,0.05555555555555555,0.05714285714285714,18,0.9120879120879121,0.4,0.2777777777777778,0.32786885245901637,36,0.9085365853658537,0.4666666666666667,0.19444444444444445,0.27450980392156865,36,0.9512195121951219,0.2222222222222222,0.6,0.32432432432432434,10,0.8894736842105263,0.0,0.11240089684724808,0.05423825901001692,0.325128436088562,0.2899288833141327,0.18208818137645721,0.15262016654014587
ptq_int8,42,PTQ_INT8,setC,_1=disc,supplementary,200,100,0.6581029598515189,0.545,0.3828888888888889,0.3377132437070938,0.3828888888888889,0.33362211383620843,0.4902419193363845,0.545,0.4998990001969485,0.72,0.2,0.6796875,0.87,0.7631578947368421,100,0.59,0.0,0.0,0.0,18,0.9725274725274725,0.34782608695652173,0.2222222222222222,0.2711864406779661,36,0.9085365853658537,0.42105263157894735,0.2222222222222222,0.2909090909090909,36,0.9329268292682927,0.24,0.6,0.34285714285714286,10,0.9,0.0,0.1204439178109169,0.043600774528458716,0.3321012854576111,0.2910175025463104,0.19458594918251038,0.14147424697875977
